Year,Australia,Austria,Germany,Greece,Italy,Lebanon,Sweden,Switzerland,Uganda,United Kingdom,United States of America
1991,0,0,0,0,0,0,4,0,0,0,0
1992,0,0,0,0,0,0,4,0,0,0,0
1993,0,0,0,0,0,0,4,0,0,0,0
1994,0,0,0,0,0,0,4,0,0,0,0
1995,0,0,0,0,0,0,4,0,0,0,0
1996,0,0,0,0,0,0,4,0,0,0,4
1997,0,0,0,0,0,0,4,0,0,0,7
1998,0,0,0,0,0,0,4,0,0,0,11
1999,0,0,0,0,0,0,4,0,0,0,14
2000,2,0,0,0,0,0,4,0,0,0,20
2001,3,0,0,0,0,0,1,0,0,0,0
2002,3,0,47,0,0,0,1,0,0,0,0
2003,3,0,43,0,0,0,1,0,0,0,13
2004,3,0,35,0,0,0,1,0,0,0,17
2005,1,0,109,0,0,0,1,0,0,0,11
2006,0,0,57,0,0,0,1,0,0,0,37
2007,3,0,487,0,0,0,1,0,0,1,38
2008,3,0,63,0,0,0,1,0,1,1,32
2009,3,0,52,0,0,0,1,0,1,1,41
2010,1,0,46,0,0,0,1,0,1,1,40
2011,0,0,48,0,0,4,0,0,1,1,55
2012,0,1,53,1,1,4,0,1,1,3,58
2013,0,1,34,2,1,0,0,1,0,6,54
2014,0,0,34,0,0,0,0,0,0,6,49
