year,government,nominal,inflation-adjusted,source
1961,federal,285,2307.2175,CANSIM 384-0032
1962,federal,322,2557.9036,CANSIM 384-0032
1963,federal,355,2768.1125,CANSIM 384-0032
1964,federal,379,2919.437,CANSIM 384-0032
1965,federal,372,2781.258,CANSIM 384-0032
1966,federal,500,3610.8,CANSIM 384-0032
1967,federal,519,3604.6626,CANSIM 384-0032
1968,federal,522,3455.5356,CANSIM 384-0032
1969,federal,555,3544.7295,CANSIM 384-0032
1970,federal,589,3669.7056,CANSIM 384-0032
1971,federal,513,3075.5889,CANSIM 384-0032
1972,federal,596,3396.9616,CANSIM 384-0032
1973,federal,738,3844.242,CANSIM 384-0032
1974,federal,2060,9590.742,CANSIM 384-0032
1975,federal,3294,13909.2444,CANSIM 384-0032
1976,federal,2502,10000.2438,CANSIM 384-0032
1977,federal,2364,8658.8592,CANSIM 384-0032
1978,federal,2401,8073.1224,CANSIM 384-0032
1979,federal,3332,10229.24,CANSIM 384-0032
1980,federal,5646,15599.898,CANSIM 384-0032
1981,federal,7042,17345.8544,CANSIM 384-0010
1982,federal,5995,13462.372,CANSIM 384-0010
1983,federal,6094,13105.7564,CANSIM 384-0010
1984,federal,7390,15297.3,CANSIM 384-0010
1985,federal,7074,14092.8228,CANSIM 384-0010
1986,federal,5741,10939.4755,CANSIM 384-0010
1987,federal,6263,11453.7744,CANSIM 384-0010
1988,federal,5357,9417.606,CANSIM 384-0010
1989,federal,4579,7647.8458,CANSIM 384-0010
1990,federal,4293,6820.7184,CANSIM 384-0010
1991,federal,6604,10076.3832,CANSIM 384-0010
1992,federal,4587,6883.2522,CANSIM 384-0010
1993,federal,3586,5281.4608,CANSIM 384-0010
1994,federal,3439,5070.8055,CANSIM 384-0010
1995,federal,3270,4722.861,CANSIM 384-0010
1996,federal,3252,4607.7588,CANSIM 384-0010
1997,federal,4135,5807.194,CANSIM 384-0010
1998,federal,3825,5307.57,CANSIM 384-0010
1999,federal,3587,4870.7873,CANSIM 384-0010
2000,federal,3537,4653.6309,CANSIM 384-0010
2001,federal,3682,4814.5832,CANSIM 384-0010
2002,federal,2969,3717.7818,CANSIM 384-0010
2003,federal,4313,5317.0664,CANSIM 384-0010
2004,federal,5083,6117.8988,CANSIM 384-0010
2005,federal,4887,5767.1487,CANSIM 384-0010
2006,federal,4293,4996.6227,CANSIM 384-0010
2007,federal,3638,4132.0404,CANSIM 384-0010
2008,federal,3782,4212.7698,CANSIM 384-0010
2009,federal,4484,4947.1972,CANSIM 384-0010
1961,provincial,36,291.438,CANSIM 384-0032
1962,provincial,39,309.8082,CANSIM 384-0032
1963,provincial,46,358.685,CANSIM 384-0032
1964,provincial,57,439.071,CANSIM 384-0032
1965,provincial,85,635.5025,CANSIM 384-0032
1966,provincial,139,1003.8024,CANSIM 384-0032
1967,provincial,118,819.5572,CANSIM 384-0032
1968,provincial,119,787.7562,CANSIM 384-0032
1969,provincial,148,945.2612,CANSIM 384-0032
1970,provincial,173,1077.8592,CANSIM 384-0032
1971,provincial,268,1606.7404,CANSIM 384-0032
1972,provincial,303,1726.9788,CANSIM 384-0032
1973,provincial,370,1927.33,CANSIM 384-0032
1974,provincial,601,2798.0757,CANSIM 384-0032
1975,provincial,747,3154.2822,CANSIM 384-0032
1976,provincial,987,3944.9403,CANSIM 384-0032
1977,provincial,1254,4593.1512,CANSIM 384-0032
1978,provincial,1350,4539.24,CANSIM 384-0032
1979,provincial,1854,5691.78,CANSIM 384-0032
1980,provincial,2175,6009.525,CANSIM 384-0032
1981,provincial,2479,6106.2728,CANSIM 384-0010
1982,provincial,3102,6965.8512,CANSIM 384-0010
1983,provincial,3857,8294.8642,CANSIM 384-0010
1984,provincial,4334,8971.38,CANSIM 384-0010
1985,provincial,4459,8883.2198,CANSIM 384-0010
1986,provincial,4797,9140.6835,CANSIM 384-0010
1987,provincial,4090,7479.792,CANSIM 384-0010
1988,provincial,4533,7969.014,CANSIM 384-0010
1989,provincial,4465,7457.443,CANSIM 384-0010
1990,provincial,4866,7731.1008,CANSIM 384-0010
1991,provincial,5307,8097.4206,CANSIM 384-0010
1992,provincial,6541,9815.4246,CANSIM 384-0010
1993,provincial,5553,8178.4584,CANSIM 384-0010
1994,provincial,4963,7317.9435,CANSIM 384-0010
1995,provincial,4264,6158.4952,CANSIM 384-0010
1996,provincial,4242,6010.4898,CANSIM 384-0010
1997,provincial,4025,5652.71,CANSIM 384-0010
1998,provincial,5069,7033.7444,CANSIM 384-0010
1999,provincial,5171,7021.7009,CANSIM 384-0010
2000,provincial,6043,7950.7751,CANSIM 384-0010
2001,provincial,10289,13453.8964,CANSIM 384-0010
2002,provincial,8836,11064.4392,CANSIM 384-0010
2003,provincial,11651,14363.3528,CANSIM 384-0010
2004,provincial,9809,11806.1124,CANSIM 384-0010
2005,provincial,10498,12388.6898,CANSIM 384-0010
2006,provincial,10223,11898.5497,CANSIM 384-0010
2007,provincial,10813,12281.4054,CANSIM 384-0010
2008,provincial,11459,12764.1801,CANSIM 384-0010
2009,provincial,11325,12494.8725,CANSIM 384-0010
