Year,Federal,FedInf,Provincial,ProvInf
1961,285,2307.22,36,291.438
1962,322,2557.90,39,309.8082
1963,355,2768.11,46,358.685
1964,379,2919.44,57,439.071
1965,372,2781.26,85,635.5025
1966,500,3610.80,139,1003.8024
1967,519,3604.66,118,819.5572
1968,522,3455.54,119,787.7562
1969,555,3544.73,148,945.2612
1970,589,3669.71,173,1077.8592
1971,513,3075.59,268,1606.7404
1972,596,3396.96,303,1726.9788
1973,738,3844.24,370,1927.33
1974,2060,9590.74,601,2798.0757
1975,3294,13909.24,747,3154.2822
1976,2502,10000.24,987,3944.9403
1977,2364,8658.86,1254,4593.1512
1978,2401,8073.12,1350,4539.24
1979,3332,10229.24,1854,5691.78
1980,5646,15599.90,2175,6009.525
