year,government,nominal,inflation-adjusted,source
1961,Newfoundland and Labrador,5,40.4775,CANSIM 384-0032
1962,Newfoundland and Labrador,5,39.719,CANSIM 384-0032
1963,Newfoundland and Labrador,4,31.19,CANSIM 384-0032
1964,Newfoundland and Labrador,5,38.515,CANSIM 384-0032
1965,Newfoundland and Labrador,6,44.859,CANSIM 384-0032
1966,Newfoundland and Labrador,13,93.8808,CANSIM 384-0032
1967,Newfoundland and Labrador,12,83.3448,CANSIM 384-0032
1968,Newfoundland and Labrador,12,79.4376,CANSIM 384-0032
1969,Newfoundland and Labrador,12,76.6428,CANSIM 384-0032
1970,Newfoundland and Labrador,14,87.2256,CANSIM 384-0032
1971,Newfoundland and Labrador,12,71.9436,CANSIM 384-0032
1972,Newfoundland and Labrador,15,85.494,CANSIM 384-0032
1973,Newfoundland and Labrador,18,93.762,CANSIM 384-0032
1974,Newfoundland and Labrador,81,377.1117,CANSIM 384-0032
1975,Newfoundland and Labrador,119,502.4894,CANSIM 384-0032
1976,Newfoundland and Labrador,55,219.8295,CANSIM 384-0032
1977,Newfoundland and Labrador,59,216.1052,CANSIM 384-0032
1978,Newfoundland and Labrador,50,168.12,CANSIM 384-0032
1979,Newfoundland and Labrador,68,208.76,CANSIM 384-0032
1980,Newfoundland and Labrador,157,433.791,CANSIM 384-0032
1981,Newfoundland and Labrador,168,413.8176,CANSIM 384-0010
1982,Newfoundland and Labrador,164,368.2784,CANSIM 384-0010
1983,Newfoundland and Labrador,109,234.4154,CANSIM 384-0010
1984,Newfoundland and Labrador,106,219.42,CANSIM 384-0010
1985,Newfoundland and Labrador,116,231.0952,CANSIM 384-0010
1986,Newfoundland and Labrador,95,181.0225,CANSIM 384-0010
1987,Newfoundland and Labrador,102,186.5376,CANSIM 384-0010
1988,Newfoundland and Labrador,96,168.768,CANSIM 384-0010
1989,Newfoundland and Labrador,101,168.6902,CANSIM 384-0010
1990,Newfoundland and Labrador,187,297.1056,CANSIM 384-0010
1991,Newfoundland and Labrador,130,198.354,CANSIM 384-0010
1992,Newfoundland and Labrador,104,156.0624,CANSIM 384-0010
1993,Newfoundland and Labrador,98,144.3344,CANSIM 384-0010
1994,Newfoundland and Labrador,90,132.705,CANSIM 384-0010
1995,Newfoundland and Labrador,82,118.4326,CANSIM 384-0010
1996,Newfoundland and Labrador,106,150.1914,CANSIM 384-0010
1997,Newfoundland and Labrador,166,233.1304,CANSIM 384-0010
1998,Newfoundland and Labrador,137,190.1012,CANSIM 384-0010
1999,Newfoundland and Labrador,85,115.4215,CANSIM 384-0010
2000,Newfoundland and Labrador,90,118.413,CANSIM 384-0010
2001,Newfoundland and Labrador,102,133.3752,CANSIM 384-0010
2002,Newfoundland and Labrador,104,130.2288,CANSIM 384-0010
2003,Newfoundland and Labrador,100,123.28,CANSIM 384-0010
2004,Newfoundland and Labrador,113,136.0068,CANSIM 384-0010
2005,Newfoundland and Labrador,110,129.811,CANSIM 384-0010
2006,Newfoundland and Labrador,122,141.9958,CANSIM 384-0010
2007,Newfoundland and Labrador,108,122.6664,CANSIM 384-0010
2008,Newfoundland and Labrador,111,123.6429,CANSIM 384-0010
2009,Newfoundland and Labrador,136,150.0488,CANSIM 384-0010
1961,Prince Edward Island,2,16.191,CANSIM 384-0032
1962,Prince Edward Island,2,15.8876,CANSIM 384-0032
1963,Prince Edward Island,3,23.3925,CANSIM 384-0032
1964,Prince Edward Island,3,23.109,CANSIM 384-0032
1965,Prince Edward Island,3,22.4295,CANSIM 384-0032
1966,Prince Edward Island,3,21.6648,CANSIM 384-0032
1967,Prince Edward Island,4,27.7816,CANSIM 384-0032
1968,Prince Edward Island,4,26.4792,CANSIM 384-0032
1969,Prince Edward Island,4,25.5476,CANSIM 384-0032
1970,Prince Edward Island,4,24.9216,CANSIM 384-0032
1971,Prince Edward Island,5,29.9765,CANSIM 384-0032
1972,Prince Edward Island,7,39.8972,CANSIM 384-0032
1973,Prince Edward Island,8,41.672,CANSIM 384-0032
1974,Prince Edward Island,10,46.557,CANSIM 384-0032
1975,Prince Edward Island,22,92.8972,CANSIM 384-0032
1976,Prince Edward Island,15,59.9535,CANSIM 384-0032
1977,Prince Edward Island,15,54.942,CANSIM 384-0032
1978,Prince Edward Island,20,67.248,CANSIM 384-0032
1979,Prince Edward Island,19,58.33,CANSIM 384-0032
1980,Prince Edward Island,22,60.786,CANSIM 384-0032
1981,Prince Edward Island,22,54.1904,CANSIM 384-0010
1982,Prince Edward Island,28,62.8768,CANSIM 384-0010
1983,Prince Edward Island,29,62.3674,CANSIM 384-0010
1984,Prince Edward Island,31,64.17,CANSIM 384-0010
1985,Prince Edward Island,49,97.6178,CANSIM 384-0010
1986,Prince Edward Island,40,76.22,CANSIM 384-0010
1987,Prince Edward Island,34,62.1792,CANSIM 384-0010
1988,Prince Edward Island,31,54.498,CANSIM 384-0010
1989,Prince Edward Island,36,60.1272,CANSIM 384-0010
1990,Prince Edward Island,75,119.16,CANSIM 384-0010
1991,Prince Edward Island,56,85.4448,CANSIM 384-0010
1992,Prince Edward Island,68,102.0408,CANSIM 384-0010
1993,Prince Edward Island,58,85.4224,CANSIM 384-0010
1994,Prince Edward Island,50,73.725,CANSIM 384-0010
1995,Prince Edward Island,64,92.4352,CANSIM 384-0010
1996,Prince Edward Island,56,79.3464,CANSIM 384-0010
1997,Prince Edward Island,65,91.286,CANSIM 384-0010
1998,Prince Edward Island,47,65.2172,CANSIM 384-0010
1999,Prince Edward Island,49,66.5371,CANSIM 384-0010
2000,Prince Edward Island,53,69.7321,CANSIM 384-0010
2001,Prince Edward Island,79,103.3004,CANSIM 384-0010
2002,Prince Edward Island,50,62.61,CANSIM 384-0010
2003,Prince Edward Island,58,71.5024,CANSIM 384-0010
2004,Prince Edward Island,63,75.8268,CANSIM 384-0010
2005,Prince Edward Island,55,64.9055,CANSIM 384-0010
2006,Prince Edward Island,47,54.7033,CANSIM 384-0010
2007,Prince Edward Island,44,49.9752,CANSIM 384-0010
2008,Prince Edward Island,42,46.7838,CANSIM 384-0010
2009,Prince Edward Island,51,56.2683,CANSIM 384-0010
1961,Nova Scotia,28,226.674,CANSIM 384-0032
1962,Nova Scotia,29,230.3702,CANSIM 384-0032
1963,Nova Scotia,30,233.925,CANSIM 384-0032
1964,Nova Scotia,34,261.902,CANSIM 384-0032
1965,Nova Scotia,34,254.201,CANSIM 384-0032
1966,Nova Scotia,44,317.7504,CANSIM 384-0032
1967,Nova Scotia,42,291.7068,CANSIM 384-0032
1968,Nova Scotia,22,145.6356,CANSIM 384-0032
1969,Nova Scotia,17,108.5773,CANSIM 384-0032
1970,Nova Scotia,14,87.2256,CANSIM 384-0032
1971,Nova Scotia,14,83.9342,CANSIM 384-0032
1972,Nova Scotia,21,119.6916,CANSIM 384-0032
1973,Nova Scotia,27,140.643,CANSIM 384-0032
1974,Nova Scotia,217,1010.2869,CANSIM 384-0032
1975,Nova Scotia,370,1562.362,CANSIM 384-0032
1976,Nova Scotia,312,1247.0328,CANSIM 384-0032
1977,Nova Scotia,312,1142.7936,CANSIM 384-0032
1978,Nova Scotia,256,860.7744,CANSIM 384-0032
1979,Nova Scotia,421,1292.47,CANSIM 384-0032
1980,Nova Scotia,857,2367.891,CANSIM 384-0032
1981,Nova Scotia,891,2194.7112,CANSIM 384-0010
1982,Nova Scotia,471,1057.6776,CANSIM 384-0010
1983,Nova Scotia,353,759.1618,CANSIM 384-0010
1984,Nova Scotia,316,654.12,CANSIM 384-0010
1985,Nova Scotia,234,466.1748,CANSIM 384-0010
1986,Nova Scotia,149,283.9195,CANSIM 384-0010
1987,Nova Scotia,148,270.6624,CANSIM 384-0010
1988,Nova Scotia,137,240.846,CANSIM 384-0010
1989,Nova Scotia,142,237.1684,CANSIM 384-0010
1990,Nova Scotia,200,317.76,CANSIM 384-0010
1991,Nova Scotia,182,277.6956,CANSIM 384-0010
1992,Nova Scotia,169,253.6014,CANSIM 384-0010
1993,Nova Scotia,149,219.4472,CANSIM 384-0010
1994,Nova Scotia,146,215.277,CANSIM 384-0010
1995,Nova Scotia,137,197.8691,CANSIM 384-0010
1996,Nova Scotia,103,145.9407,CANSIM 384-0010
1997,Nova Scotia,193,271.0492,CANSIM 384-0010
1998,Nova Scotia,203,281.6828,CANSIM 384-0010
1999,Nova Scotia,227,308.2433,CANSIM 384-0010
2000,Nova Scotia,253,332.8721,CANSIM 384-0010
2001,Nova Scotia,190,248.444,CANSIM 384-0010
2002,Nova Scotia,177,221.6394,CANSIM 384-0010
2003,Nova Scotia,188,231.7664,CANSIM 384-0010
2004,Nova Scotia,207,249.1452,CANSIM 384-0010
2005,Nova Scotia,217,256.0817,CANSIM 384-0010
2006,Nova Scotia,218,253.7302,CANSIM 384-0010
2007,Nova Scotia,207,235.1106,CANSIM 384-0010
2008,Nova Scotia,219,243.9441,CANSIM 384-0010
