year,government,nominal,inflation-adjusted,source
1961,Newfoundland and Labrador,0,0,CANSIM 384-0032
1962,Newfoundland and Labrador,0,0,CANSIM 384-0032
1963,Newfoundland and Labrador,0,0,CANSIM 384-0032
1964,Newfoundland and Labrador,0,0,CANSIM 384-0032
1965,Newfoundland and Labrador,0,0,CANSIM 384-0032
1966,Newfoundland and Labrador,1,7.2216,CANSIM 384-0032
1967,Newfoundland and Labrador,0,0,CANSIM 384-0032
1968,Newfoundland and Labrador,1,6.6198,CANSIM 384-0032
1969,Newfoundland and Labrador,7,44.7083,CANSIM 384-0032
1970,Newfoundland and Labrador,8,49.8432,CANSIM 384-0032
1971,Newfoundland and Labrador,20,119.906,CANSIM 384-0032
1972,Newfoundland and Labrador,21,119.6916,CANSIM 384-0032
1973,Newfoundland and Labrador,21,109.389,CANSIM 384-0032
1974,Newfoundland and Labrador,24,111.7368,CANSIM 384-0032
1975,Newfoundland and Labrador,21,88.6746,CANSIM 384-0032
1976,Newfoundland and Labrador,24,95.9256,CANSIM 384-0032
1977,Newfoundland and Labrador,17,62.2676,CANSIM 384-0032
1978,Newfoundland and Labrador,27,90.7848,CANSIM 384-0032
1979,Newfoundland and Labrador,29,89.03,CANSIM 384-0032
1980,Newfoundland and Labrador,23,63.549,CANSIM 384-0032
1981,Newfoundland and Labrador,18,44.3376,CANSIM 384-0010
1982,Newfoundland and Labrador,26,58.3856,CANSIM 384-0010
1983,Newfoundland and Labrador,32,68.8192,CANSIM 384-0010
1984,Newfoundland and Labrador,35,72.45,CANSIM 384-0010
1985,Newfoundland and Labrador,48,95.6256,CANSIM 384-0010
1986,Newfoundland and Labrador,59,112.4245,CANSIM 384-0010
1987,Newfoundland and Labrador,70,128.016,CANSIM 384-0010
1988,Newfoundland and Labrador,79,138.882,CANSIM 384-0010
1989,Newfoundland and Labrador,84,140.2968,CANSIM 384-0010
1990,Newfoundland and Labrador,89,141.4032,CANSIM 384-0010
1991,Newfoundland and Labrador,70,106.806,CANSIM 384-0010
1992,Newfoundland and Labrador,55,82.533,CANSIM 384-0010
1993,Newfoundland and Labrador,66,97.2048,CANSIM 384-0010
1994,Newfoundland and Labrador,75,110.5875,CANSIM 384-0010
1995,Newfoundland and Labrador,53,76.5479,CANSIM 384-0010
1996,Newfoundland and Labrador,49,69.4281,CANSIM 384-0010
1997,Newfoundland and Labrador,49,68.8156,CANSIM 384-0010
1998,Newfoundland and Labrador,44,61.0544,CANSIM 384-0010
1999,Newfoundland and Labrador,39,52.9581,CANSIM 384-0010
2000,Newfoundland and Labrador,43,56.5751,CANSIM 384-0010
2001,Newfoundland and Labrador,42,54.9192,CANSIM 384-0010
2002,Newfoundland and Labrador,34,42.5748,CANSIM 384-0010
2003,Newfoundland and Labrador,42,51.7776,CANSIM 384-0010
2004,Newfoundland and Labrador,47,56.5692,CANSIM 384-0010
2005,Newfoundland and Labrador,44,51.9244,CANSIM 384-0010
2006,Newfoundland and Labrador,56,65.1784,CANSIM 384-0010
2007,Newfoundland and Labrador,74,84.0492,CANSIM 384-0010
2008,Newfoundland and Labrador,51,56.8089,CANSIM 384-0010
2009,Newfoundland and Labrador,48,52.9584,CANSIM 384-0010
1961,Prince Edward Island,0,0,CANSIM 384-0032
1962,Prince Edward Island,0,0,CANSIM 384-0032
1963,Prince Edward Island,0,0,CANSIM 384-0032
1964,Prince Edward Island,0,0,CANSIM 384-0032
1965,Prince Edward Island,0,0,CANSIM 384-0032
1966,Prince Edward Island,1,7.2216,CANSIM 384-0032
1967,Prince Edward Island,1,6.9454,CANSIM 384-0032
1968,Prince Edward Island,1,6.6198,CANSIM 384-0032
1969,Prince Edward Island,1,6.3869,CANSIM 384-0032
1970,Prince Edward Island,2,12.4608,CANSIM 384-0032
1971,Prince Edward Island,3,17.9859,CANSIM 384-0032
1972,Prince Edward Island,1,5.6996,CANSIM 384-0032
1973,Prince Edward Island,1,5.209,CANSIM 384-0032
1974,Prince Edward Island,3,13.9671,CANSIM 384-0032
1975,Prince Edward Island,5,21.113,CANSIM 384-0032
1976,Prince Edward Island,4,15.9876,CANSIM 384-0032
1977,Prince Edward Island,5,18.314,CANSIM 384-0032
1978,Prince Edward Island,6,20.1744,CANSIM 384-0032
1979,Prince Edward Island,9,27.63,CANSIM 384-0032
1980,Prince Edward Island,10,27.63,CANSIM 384-0032
1981,Prince Edward Island,7,17.2424,CANSIM 384-0010
1982,Prince Edward Island,8,17.9648,CANSIM 384-0010
1983,Prince Edward Island,9,19.3554,CANSIM 384-0010
1984,Prince Edward Island,14,28.98,CANSIM 384-0010
1985,Prince Edward Island,23,45.8206,CANSIM 384-0010
1986,Prince Edward Island,33,62.8815,CANSIM 384-0010
1987,Prince Edward Island,27,49.3776,CANSIM 384-0010
1988,Prince Edward Island,30,52.74,CANSIM 384-0010
1989,Prince Edward Island,33,55.1166,CANSIM 384-0010
1990,Prince Edward Island,35,55.608,CANSIM 384-0010
1991,Prince Edward Island,38,57.9804,CANSIM 384-0010
1992,Prince Edward Island,36,54.0216,CANSIM 384-0010
1993,Prince Edward Island,40,58.912,CANSIM 384-0010
1994,Prince Edward Island,47,69.3015,CANSIM 384-0010
1995,Prince Edward Island,40,57.772,CANSIM 384-0010
1996,Prince Edward Island,38,53.8422,CANSIM 384-0010
1997,Prince Edward Island,20,28.088,CANSIM 384-0010
1998,Prince Edward Island,25,34.69,CANSIM 384-0010
1999,Prince Edward Island,27,36.6633,CANSIM 384-0010
2000,Prince Edward Island,34,44.7338,CANSIM 384-0010
2001,Prince Edward Island,45,58.842,CANSIM 384-0010
2002,Prince Edward Island,37,46.3314,CANSIM 384-0010
2003,Prince Edward Island,38,46.8464,CANSIM 384-0010
2004,Prince Edward Island,47,56.5692,CANSIM 384-0010
2005,Prince Edward Island,40,47.204,CANSIM 384-0010
2006,Prince Edward Island,43,50.0477,CANSIM 384-0010
2007,Prince Edward Island,55,62.469,CANSIM 384-0010
2008,Prince Edward Island,63,70.1757,CANSIM 384-0010
2009,Prince Edward Island,69,76.1277,CANSIM 384-0010
1961,Nova Scotia,0,0,CANSIM 384-0032
1962,Nova Scotia,0,0,CANSIM 384-0032
1963,Nova Scotia,1,7.7975,CANSIM 384-0032
1964,Nova Scotia,1,7.703,CANSIM 384-0032
1965,Nova Scotia,1,7.4765,CANSIM 384-0032
1966,Nova Scotia,1,7.2216,CANSIM 384-0032
1967,Nova Scotia,1,6.9454,CANSIM 384-0032
1968,Nova Scotia,3,19.8594,CANSIM 384-0032
1969,Nova Scotia,2,12.7738,CANSIM 384-0032
1970,Nova Scotia,7,43.6128,CANSIM 384-0032
1971,Nova Scotia,11,65.9483,CANSIM 384-0032
1972,Nova Scotia,9,51.2964,CANSIM 384-0032
1973,Nova Scotia,14,72.926,CANSIM 384-0032
1974,Nova Scotia,25,116.3925,CANSIM 384-0032
1975,Nova Scotia,29,122.4554,CANSIM 384-0032
1976,Nova Scotia,27,107.9163,CANSIM 384-0032
1977,Nova Scotia,50,183.14,CANSIM 384-0032
1978,Nova Scotia,111,373.2264,CANSIM 384-0032
1979,Nova Scotia,76,233.32,CANSIM 384-0032
1980,Nova Scotia,91,251.433,CANSIM 384-0032
1981,Nova Scotia,122,300.5104,CANSIM 384-0010
1982,Nova Scotia,144,323.3664,CANSIM 384-0010
1983,Nova Scotia,110,236.566,CANSIM 384-0010
1984,Nova Scotia,107,221.49,CANSIM 384-0010
1985,Nova Scotia,115,229.103,CANSIM 384-0010
1986,Nova Scotia,88,167.684,CANSIM 384-0010
1987,Nova Scotia,77,140.8176,CANSIM 384-0010
1988,Nova Scotia,89,156.462,CANSIM 384-0010
1989,Nova Scotia,79,131.9458,CANSIM 384-0010
1990,Nova Scotia,79,125.5152,CANSIM 384-0010
1991,Nova Scotia,75,114.435,CANSIM 384-0010
1992,Nova Scotia,58,87.0348,CANSIM 384-0010
1993,Nova Scotia,59,86.8952,CANSIM 384-0010
1994,Nova Scotia,54,79.623,CANSIM 384-0010
1995,Nova Scotia,63,90.9909,CANSIM 384-0010
1996,Nova Scotia,64,90.6816,CANSIM 384-0010
1997,Nova Scotia,53,74.4332,CANSIM 384-0010
1998,Nova Scotia,80,111.008,CANSIM 384-0010
1999,Nova Scotia,97,131.7163,CANSIM 384-0010
2000,Nova Scotia,72,94.7304,CANSIM 384-0010
2001,Nova Scotia,63,82.3788,CANSIM 384-0010
2002,Nova Scotia,65,81.393,CANSIM 384-0010
2003,Nova Scotia,74,91.2272,CANSIM 384-0010
2004,Nova Scotia,75,90.27,CANSIM 384-0010
2005,Nova Scotia,81,95.5881,CANSIM 384-0010
2006,Nova Scotia,75,87.2925,CANSIM 384-0010
2007,Nova Scotia,99,112.4442,CANSIM 384-0010
2008,Nova Scotia,101,112.5039,CANSIM 384-0010
2009,Nova Scotia,92,101.5036,CANSIM 384-0010
1961,New Brunswick,0,0,CANSIM 384-0032
1962,New Brunswick,0,0,CANSIM 384-0032
1963,New Brunswick,0,0,CANSIM 384-0032
1964,New Brunswick,0,0,CANSIM 384-0032
1965,New Brunswick,1,7.4765,CANSIM 384-0032
1966,New Brunswick,1,7.2216,CANSIM 384-0032
1967,New Brunswick,2,13.8908,CANSIM 384-0032
1968,New Brunswick,1,6.6198,CANSIM 384-0032
1969,New Brunswick,1,6.3869,CANSIM 384-0032
1970,New Brunswick,8,49.8432,CANSIM 384-0032
1971,New Brunswick,2,11.9906,CANSIM 384-0032
1972,New Brunswick,5,28.498,CANSIM 384-0032
1973,New Brunswick,3,15.627,CANSIM 384-0032
1974,New Brunswick,6,27.9342,CANSIM 384-0032
1975,New Brunswick,8,33.7808,CANSIM 384-0032
1976,New Brunswick,13,51.9597,CANSIM 384-0032
1977,New Brunswick,16,58.6048,CANSIM 384-0032
1978,New Brunswick,15,50.436,CANSIM 384-0032
1979,New Brunswick,19,58.33,CANSIM 384-0032
1980,New Brunswick,24,66.312,CANSIM 384-0032
1981,New Brunswick,10,24.632,CANSIM 384-0010
1982,New Brunswick,33,74.1048,CANSIM 384-0010
1983,New Brunswick,25,53.765,CANSIM 384-0010
1984,New Brunswick,27,55.89,CANSIM 384-0010
1985,New Brunswick,17,33.8674,CANSIM 384-0010
1986,New Brunswick,19,36.2045,CANSIM 384-0010
1987,New Brunswick,12,21.9456,CANSIM 384-0010
1988,New Brunswick,23,40.434,CANSIM 384-0010
1989,New Brunswick,25,41.755,CANSIM 384-0010
1990,New Brunswick,27,42.8976,CANSIM 384-0010
1991,New Brunswick,49,74.7642,CANSIM 384-0010
1992,New Brunswick,77,115.5462,CANSIM 384-0010
1993,New Brunswick,52,76.5856,CANSIM 384-0010
1994,New Brunswick,47,69.3015,CANSIM 384-0010
1995,New Brunswick,49,70.7707,CANSIM 384-0010
1996,New Brunswick,43,60.9267,CANSIM 384-0010
1997,New Brunswick,31,43.5364,CANSIM 384-0010
1998,New Brunswick,55,76.318,CANSIM 384-0010
1999,New Brunswick,94,127.6426,CANSIM 384-0010
2000,New Brunswick,78,102.6246,CANSIM 384-0010
2001,New Brunswick,57,74.5332,CANSIM 384-0010
2002,New Brunswick,50,62.61,CANSIM 384-0010
2003,New Brunswick,48,59.1744,CANSIM 384-0010
2004,New Brunswick,102,122.7672,CANSIM 384-0010
2005,New Brunswick,108,127.4508,CANSIM 384-0010
