income,under 24,25-34,35-44,45-54,55-64,65 and up
under 5000,94170,53070,46260,52060,57180,16220
5000-9999,66640,36780,29830,32990,42320,22190
10000 - 14999,59920,45990,36840,48870,59320,73880
15000 - 19999,45850,44570,32290,36020,37350,140530
20000 - 24999,30360,43150,32990,34830,32810,103970
25000-34999,36030,79380,64020,67460,63080,118210
35000-49999,24900,102680,91060,101230,90990,116100
50000-74999,13070,96190,106650,117290,98810,89970
75000-99999,3630,39760,63480,71000,54360,29950
100000-149999,1530,19400,39360,47910,36990,18380
150000-199999,140,3080,9080,12390,10220,5630
200000-249999,20,810,3220,4630,4120,2520
over 250000,30,680,4000,7030,57180,5010
