Industry,Type,1997 Q1,1997 Q2,1997 Q3,1997 Q4,1998 Q1,1998 Q2,1998 Q3,1998 Q4,1999 Q1,1999 Q2,1999 Q3,1999 Q4,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3
"Agriculture, forestry, fishing and hunting",Goods-producing,5780,5812,6220,6116,5964,6016,6220,6248,6108,6360,6568,6680,6616,6568,6736,6824,6848,6868,6920,6988,7220,7164,7104,7328,7368,7264,7224,7392,7448,7480,7460,7556,7592,7700,7612,7620,7716,7648,7504,7464,7612,7548,7552,7580,7652,7572,7676,7528,7316,7168,7336,7424,7320,7444,7492,7592,7816,7964,8008,8088,8188,8356,8216,8292,8556,8536,8552,8776,8668,8668,8640,8736,9028,9140,9264
Mining and oil and gas extraction,Goods-producing,8764,8968,9160,9260,9280,9064,8708,8424,7952,8112,8368,8628,9184,9548,9812,10268,10612,10764,10784,10640,10328,10240,10260,10404,10704,10916,11288,11744,12004,12560,12980,13712,14320,15140,16100,17232,17924,18744,19464,20140,20476,20556,21212,22056,22828,23344,23716,23660,23152,22216,21364,21452,22324,23664,24820,25716,27252,28196,28220,29304,29404,29556,30160,29828,30252,30804,31376,32044,32968,34048,34256,34280,32880,31008,31644
Manufacturing,Goods-producing,70280,71728,72456,73656,74820,76568,76128,77972,77896,79532,81068,83128,85680,86780,87656,87920,87592,86968,86264,85168,85784,86552,88100,88472,88820,89276,88464,89216,90460,91928,92904,93440,93556,94132,95152,94980,94784,94284,94880,95292,96364,96068,94852,94172,93388,92304,89656,87860,82900,80624,80060,79816,80888,81252,83000,83516,85184,84696,84796,87032,87548,88988,89832,89940,88976,90320,90364,90268,89800,91152,92184,92012,93396,94776,90556
Construction,Goods-producing,20752,21928,23336,22976,22636,22996,23352,23988,24016,24604,25264,25840,26260,26904,27508,27960,28768,29204,29460,29880,30352,30060,30376,30788,31216,30868,31652,32364,32840,33716,34236,35160,36232,37584,38800,40124,41840,43300,44540,45252,46908,48448,50140,51736,53612,55024,56024,55904,53908,52688,53140,54032,55604,56780,57592,59068,60052,60448,62308,63004,65260,67276,68412,70484,71592,72008,74184,76180,77240,76932,78448,78336,77528,78516,77288
Utilities,Goods-producing,6200,6088,6108,6212,6632,6580,6604,6584,6512,6628,6724,6828,6856,6976,7152,7240,7272,7356,7528,7616,7572,7516,7568,7816,7840,8088,8120,8148,8420,8524,8552,8752,8916,8912,9068,9180,9308,9384,9644,9832,10148,10268,10432,10552,10636,10720,10664,10852,11000,11072,11176,11304,11412,11500,11576,11620,11740,11964,12176,12564,12376,12484,12324,12268,12452,12484,12496,12604,12796,13040,13044,13048,13156,13116,13020
Trade,Services-producing,51728,53172,54356,55784,56620,57492,58408,58840,59132,59624,60552,61612,63004,64192,65448,66436,67376,67676,67348,67712,68528,69204,70412,71256,71880,72264,73032,74028,75248,76464,77608,78072,79108,80528,81948,83868,84376,85580,86472,87580,89112,90540,91896,92008,92780,93740,94756,94504,92872,91300,90820,91588,92176,93132,93508,94876,96244,97092,97864,99984,102436,104608,105448,106436,106884,107324,107860,109524,110064,111168,113076,114236,115432,115508,114876
Transportation and storage,Services-producing,19920,20388,21304,20812,21460,21856,22280,22660,22768,23056,23292,23552,24120,24260,24572,24936,25312,25308,25368,25620,25600,25636,25776,26124,26060,25956,26020,26224,26944,27736,28316,28428,28144,28640,28932,29556,30192,30764,31380,32096,32464,32624,33128,32828,33112,33200,33228,33208,32920,32424,31988,32080,32320,32928,33688,34284,35072,34836,35432,35972,36544,37432,38388,38688,39056,39404,39512,40196,40284,41036,41760,42560,42712,42672,41828
Information and cultural industries,Services-producing,9840,10148,10228,10540,10764,11124,11524,11920,12168,12396,12736,13072,13452,13796,14084,14180,14272,14392,14460,14604,14736,14648,14716,14848,14932,14816,15052,15104,15544,15772,15768,15820,15940,16172,16120,16480,16764,17020,17284,17692,17888,18260,18556,18620,18868,18676,18692,18620,18348,18252,18256,18344,18300,18616,18768,19352,19628,19668,19704,19872,20180,20504,21056,20700,20728,20796,20764,20984,21224,21080,20928,20720,21072,21488,21464
"Finance, real estate and company management",Services-producing,37452,38132,39244,39744,39816,40376,40032,40568,40684,41864,42640,43796,45308,46780,48496,49276,49536,49140,49312,49092,49780,49812,49628,50160,50588,50180,50820,52200,53920,54996,56168,56276,57056,57728,59492,60572,61528,63012,64080,65156,65684,67284,68220,69392,70308,71512,71316,69712,68432,67328,67476,68428,69372,69640,70500,72428,74020,74772,74100,73696,73760,73320,74644,74624,75020,76060,76624,77424,79264,80752,81432,80760,83524,83948,87704
Professional and personal services industries,Services-producing,56264,58408,60608,61696,62884,64752,66796,68864,69396,70920,72408,74316,77168,79468,81828,83796,84472,85140,85136,85388,87112,88428,88812,90424,91132,91580,92744,94464,96312,98076,99544,100592,102120,104196,106548,108384,110476,112304,115240,117408,120064,121868,123704,126344,130384,132324,132680,132452,129848,128592,129216,129696,129968,132248,133872,135580,137888,139756,141284,142592,143544,144952,146520,147420,149120,150392,151568,153756,154448,155956,157440,159640,160640,160752,163900
