Income,Total,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Under 5000,0.02017176,-0.024450128,0.037851662,0.024051257,0.005149678,-0.020124066,-0.031281483,-0.074474995,0.032799307,0.079394193,-0.062193801,-0.00627919,-0.019307062,0.080772282
5000-9999,-0.40755188,0.005154639,-0.003430532,-0.009326483,-0.019123506,-0.096001497,-0.057802705,-0.063956754,-0.032697745,-0.000435193,-0.018016688,-0.010596224,-0.03235498,-0.012716492
10000-14999,-0.023060432,0.002208756,-0.000621996,-0.004544164,0.010678784,0.057101107,-0.018464371,-0.026627383,-0.013693227,-0.000733096,0.018891333,-0.00327614,-0.044726766,0.001218239
15000-19999,0.283629162,0.021270354,0.017882792,0.007479009,0.033405701,0.018568718,0.003459747,0.009017372,0.029175976,0.054909973,0.042367752,0.016722796,0.004397487,-0.004914005
20000-24999,0.227026049,0.020984081,-0.006688665,0.004191563,0.0160746,0.029717682,-0.00709523,0.048726278,-0.001714706,0.022699437,0.025389222,0.021256716,0.037358951,-0.002948548
25000-34999,0.07737943,0.029151537,-0.031314063,-0.004168597,0.02403376,0.012915871,-0.010427633,0.04130947,0.005536565,-0.014129643,-0.005762563,0.010987938,0.012607478,0.004913419
35000-49999,0.254673887,0.059712738,-0.004060325,-0.001608867,0.011083304,0.043670438,0.027020159,0.056,0.023391128,-0.012556989,-0.012241386,0.01122453,0.018641708,0.011580226
50000-74999,0.707120153,0.062047044,0.035975099,0.030623447,0.062678702,0.051332102,0.090576074,0.05875857,0.064754455,-0.007401316,0.000986842,0.032985541,0.036584881,0.030153067
75000-99999,1.942098389,0.106225512,0.081660763,0.075313808,0.110133649,0.093873819,0.218723879,0.083219021,0.115132967,0.040787357,0.021276596,0.078347578,0.039547556,0.073465174
100000-149000,2.669463087,0.143036913,0.088073394,0.074873524,0.141512394,0.169873557,0.175516917,0.142314611,0.119160105,0.033614759,0.022084405,0.093236643,0.083254366,0.093226693
150000-199999,2.494100295,0.157817109,0.031847134,0.087654321,0.149829739,0.172754195,0.18013468,0.139087019,0.079524108,0.017981439,0.047863248,0.090266449,0.089775561,0.084210526
200000-249999,1.959876543,0.086419753,0.056818182,0.094086022,0.115479115,0.121145374,0.21021611,0.100649351,0.07079646,-0.012552301,0.052998605,0.082119205,0.085679315,0.081172492
250000 and up,1.422222222,0.020740741,0.069666183,0.093622795,0.131513648,0.132675439,0.189738625,0.11635476,0.000728863,-0.076862745,0.070588235,0.087179487,0.020889488,0.079207921
