Age group,North American Aboriginal,Other North American,European,Caribbean,"Latin, Central and South American",African,Asian,Oceania
65 and over,250,4545,48115,295,310,355,41515,295
55-64,565,6395,33395,165,780,495,46660,365
45-54,860,9090,37205,360,1330,1315,63670,485
35-44,1050,8925,29560,420,1505,1325,58165,530
25-34,820,9460,23140,390,1920,950,59950,995
15-24,1105,10515,13555,195,1400,900,63260,625
Under 15,1335,14785,11820,165,1475,1565,65915,700
65 and over,-485,-5735,-54390,-255,-445,-250,-48345,-390
55-64,-800,-5710,-31650,-170,-740,-390,-51050,-410
45-54,-1135,-7575,-32585,-330,-1425,-775,-75450,-600
35-44,-1170,-7690,-25580,-360,-1785,-1325,-76795,-570
25-34,-985,-8105,-19835,-215,-2020,-1000,-67660,-970
15-24,-940,-9750,-11950,-140,-1370,-1015,-59595,-425
Under 15,-1275,-13825,-10940,-210,-1205,-1550,-60715,-600
