Date,Total-Males,Total-Females,Management-Males,Management-Females,Business-Males,Business-Females,Natural-Males,Natural-Females,Health-Males,Health-Females,Government-Males,Government-Females,Art-Males,Art-Females,Sales-Males,Sales-Females,Trades-Males,Trades-Females,Resources-Males,Resources-Females,Manufacturing-Males,Manufacturing-Females
01-1997,5645.4,5275.6,604.3,381.7,562.5,1461.8,505.8,138.4,94.6,529.4,414.5,687.5,86.5,101.2,1120.3,1581.4,1469.2,92.4,148.1,28.6,639.5,273.2
02-1997,5687.3,5303.7,598.2,382.1,549.3,1483.4,516.5,136.7,90.6,530.4,442.9,685,84.7,105.5,1117.5,1593.1,1491.6,90.8,142.9,25.8,653,270.8
03-1997,5702.8,5310.3,599.7,374.6,537.2,1500.1,519.3,131.2,90,536.6,448.2,683.2,94.1,102.9,1131,1588.8,1482.1,86.3,134.3,25.1,666.9,281.4
04-1997,5716.3,5334.4,606.8,375.7,541.5,1513.1,513,139.5,93.2,544.9,433.1,669.1,84.4,104.4,1104.7,1582.4,1514.7,90,151.2,29.1,673.8,286.1
05-1997,5954.6,5434.4,615.7,383.4,550.3,1512.1,544.2,142,89.9,560.4,440.9,697.3,83.8,119,1123.9,1599.7,1597.7,84.9,202.6,41.4,705.5,294.2
06-1997,6143.9,5505.5,602.9,383.5,578.9,1522.8,561.9,144.7,99.5,565.2,425.5,692.6,102.1,127.8,1127.3,1619.6,1692.1,90.3,245.8,50,707.9,308.9
07-1997,6215.6,5482.9,582.9,378.6,587.7,1535.9,574.4,150,94.8,560.3,410.8,634.4,115.7,135.9,1143,1633.8,1727.6,78.1,268.3,59.5,710.5,316.3
08-1997,6248.1,5498.3,572.7,391.6,616,1523.2,572,153.2,94.4,567.6,403.2,627,119.4,125.2,1160.3,1647.4,1720.9,81.6,271,55.8,718.1,325.7
09-1997,6085.7,5437.5,569.5,393.1,606,1500.6,563.9,152.3,90.7,551.8,414,700.6,99.3,108.4,1126.3,1577.6,1693.1,90.4,242.5,43.3,680.4,319.6
10-1997,6083.3,5430.4,568.9,387.8,609.8,1501.5,572.1,150.7,93.5,545.5,431.2,720.5,106.2,118.1,1128,1570.5,1666.5,88.6,219,37.2,688.1,310.1
11-1997,6021,5440.4,564.9,398.9,608,1531.4,578.4,151.3,91.5,547.9,440.9,733.2,101.7,111.9,1130.4,1551.8,1620.3,88.4,195.6,27.3,689.4,298.4
12-1997,5950.5,5466.2,569.6,402.3,618.5,1513.2,563.3,152.9,89.4,547.2,441.4,738.7,99.1,116.1,1155,1581.8,1553.5,87.6,173.7,24,687,302.4
01-1998,5774.7,5343.1,557.1,390.5,635.1,1480.2,561,150.6,87.2,540.5,435.8,727.1,102.7,116.6,1112.8,1524.7,1465,90.3,157.1,27.4,660.7,295.2
02-1998,5840.7,5408.5,569,396.1,617.8,1535.7,579.1,143.3,87.3,534.4,442.7,742.4,104.9,116.2,1139.3,1517.9,1469.3,95.8,155.6,31.9,675.7,294.8
03-1998,5844.9,5449.4,564.9,401.6,616.1,1549,580.5,140.8,93.3,537.9,446.7,733.4,103.5,116.3,1148.8,1537.7,1456.7,91,152.5,35.2,681.9,306.6
04-1998,5880.5,5494.3,571.4,399.6,606.2,1555.7,588.2,151,93.8,530.1,438.1,742.9,98.9,118.2,1131.1,1556.9,1499.9,94.2,168.8,40.6,684.2,305.1
05-1998,6092.7,5591.6,578.5,393.4,633.8,1580.6,601.2,155,94.6,539.4,425.2,721.7,102.6,117.8,1161.1,1597.8,1581.8,101.4,218.2,61.1,695.7,323.5
06-1998,6251.5,5668.6,586.2,398,633.7,1576.8,590.4,161.8,94.9,546.3,433.7,736.5,100.3,123.2,1201.8,1636.7,1650.7,102.3,247.8,61,712,326
07-1998,6325.1,5673.4,572.3,393.5,614,1591.5,598.5,167.5,94.7,559.4,410.6,671.5,110,140.6,1219.7,1652.2,1696.6,103.7,265.5,64.2,743.1,329.2
08-1998,6333.2,5673.7,577.2,398.2,607.6,1573.6,611.9,170.2,102.1,552.5,411.9,670.7,113.5,133.6,1202.3,1669.3,1690.5,99.9,269,66.2,747.3,339.6
09-1998,6157.7,5621.6,575.2,397.3,600.4,1523.7,602,158.4,100.1,563.2,414.6,759.3,98,116.4,1158.9,1629.9,1650.8,98.4,234.7,51.1,723,323.9
10-1998,6129.9,5647,560.1,389.9,624,1525.9,592.6,158.2,96.1,576.6,430.1,776.1,100.1,119.6,1139.8,1629.7,1651,96.9,213,42,723.1,332.1
11-1998,6072.5,5647.4,556.4,403,625.3,1517.1,592.6,154.7,93.9,564.1,420.8,803.9,96,121.2,1146.3,1636.2,1632.1,93.4,180,33,729.1,320.8
12-1998,6017.9,5660.4,544.9,396.2,616.5,1525.4,607.7,150.4,97,582.8,418.4,794.1,108.9,119.1,1145.8,1650.3,1584,90.8,166.3,29.7,728.4,321.5
01-1999,5887.9,5573.9,584,391.6,625.6,1526.2,595.4,145.1,99.9,582.7,434.3,783.3,105.9,114.7,1132.7,1623.1,1461.5,76.5,158.3,27.9,690.3,302.8
02-1999,5918.3,5613.8,586,373.8,621,1574.6,603,146.9,101,578.1,431.5,775,109.2,122.6,1137.8,1628.3,1468.3,77.2,160.9,33,699.7,304.3
03-1999,5926.2,5637.3,585.7,371.2,620.8,1588.5,600.3,152,99.1,575.3,426,770.4,106.7,114.8,1156.9,1644.2,1486,77.4,149.2,28.1,695.6,315.3
04-1999,5991,5653.8,588.7,369.2,606.5,1571.1,622.5,165,102.9,566.4,433.4,779.3,99.2,118,1151.4,1659.4,1521.7,81.7,166,30,698.6,313.8
05-1999,6196.5,5771.9,578.1,364.5,611.7,1600.4,646.2,180.8,98.2,564.5,451.4,768.8,102.5,120.7,1176.7,1693.7,1602.6,83.8,206.1,46.7,723.1,348
06-1999,6377.8,5840.2,578.3,361.1,605.6,1606,672,191.4,104.5,561.2,446.8,775.2,118.8,131.5,1200.2,1746.4,1669,87.4,237.3,51.4,745.3,328.8
07-1999,6490.2,5852.7,576.6,339.1,599.7,1619.4,687,196.9,107.2,566.1,428.2,694.1,138.6,154.3,1222.3,1789.4,1708.1,81.3,261.1,63.8,761.2,348.1
08-1999,6475.4,5844.2,580,353.3,590.2,1596.8,679.6,201.6,102.8,554.8,443.7,704.9,127.9,145.3,1250.9,1780.7,1694.4,86.3,242.7,63,763.3,357.4
09-1999,6334.3,5807.6,579.2,339.5,573.6,1576.4,646.2,192.2,104.2,549.4,442.7,765.1,101.4,129.3,1239.6,1753.4,1682.5,91.5,228,49.9,736.8,360.9
10-1999,6338.2,5828.5,588.2,344.3,579.8,1586.6,630.6,200.6,100.3,561,446.2,779.5,118.2,131.5,1244.5,1721.7,1672.9,95.2,206.4,47.5,751.1,360.7
11-1999,6279.6,5823.4,587.2,356.6,572,1583.6,613.1,196.8,102.8,560.6,449,799.7,106.6,126.6,1232.6,1728.5,1661.7,84.5,190.6,37.9,764,348.6
12-1999,6230.7,5834.6,574.4,352.8,580.1,1550.9,628.4,186.9,93.8,581.5,466.3,797.3,101.2,134.3,1259.8,1763.2,1623,81.7,164.4,33.3,739.3,352.8
01-2000,6079,5727,596.3,356.6,562.8,1525.3,622.9,180.5,92.5,579.3,457,804,103.6,133.5,1229.1,1701.1,1540.3,85.3,145.1,28.3,729.5,333.2
02-2000,6127.4,5776.9,593.8,362,560.3,1536.9,644.4,173.3,94.5,583.9,445,803.2,104.4,130.9,1241,1727.3,1574.2,92.6,152.5,28.9,717.3,338
03-2000,6163.4,5816.5,586.8,364.3,565.2,1571.8,665.8,181.1,97.8,584.1,449,800.1,110,121.1,1249.5,1744.3,1549.4,86,149.6,33.2,740.3,330.4
04-2000,6257.3,5873.1,600.9,359.6,568.1,1600.6,662.9,184.8,96.5,588.5,448.2,814.9,106.5,117.9,1274.5,1749.8,1596.2,88.7,162.2,38.8,741.3,329.5
05-2000,6491.1,5984.4,583.2,358.5,593.1,1587.6,685,190.8,100.3,588.2,437.3,825.7,97.8,118.9,1320.3,1812.8,1678.9,99.6,233,54,762.1,348.1
06-2000,6591.9,6072,587.5,356.2,605.7,1615.4,688.2,193,95.8,589.5,435.5,820,108.9,120.9,1339.3,1869.5,1696.9,99.4,252.2,63.7,781.7,344.4
07-2000,6715,6015.3,591.5,346.4,641.3,1644.7,699.1,194.2,97.2,586.2,428,727.6,116.4,157.6,1356,1852.3,1746.1,87.6,272.6,63.8,766.5,354.9
08-2000,6717.2,6011.6,604,367.5,639.1,1662.1,709.5,198.5,92.8,595.7,417.1,712.6,108,154.7,1338.5,1827.8,1750.7,77.9,280,65.4,777.5,349.3
09-2000,6553.3,5991.1,606.6,362.3,640.8,1606.8,692.8,197.2,88.2,594.2,448.6,790.9,91.5,126.9,1298.8,1817.4,1709.7,96,232.3,51.8,743.9,347.7
10-2000,6533.7,6034.9,599.2,355.7,640.4,1611.3,703.9,190.7,88.1,612.2,454.9,823.2,96.5,128.3,1288.4,1824.4,1681.9,98.5,221.8,46.6,758.7,344
11-2000,6476.5,6049.2,604.4,367.8,653.8,1616.1,703.2,190.4,85.6,582.5,457,834.3,93.3,137.9,1269.9,1834.6,1688,97.4,192.4,37.3,728.9,350.9
12-2000,6425.7,6066,604.2,358.6,639.9,1611.6,681.1,188.9,89.8,595.7,442.3,831.2,103.9,135.2,1318.9,1873.1,1640.3,97.2,168,34,737.4,340.4
01-2001,6279.8,5984.9,583.7,358.3,636.9,1602.4,679.4,184.8,90.4,597.9,430.3,848.1,105,134.4,1306,1823.6,1565.9,93,164.6,28,717.7,314.3
02-2001,6300,6005.4,561.2,356.9,622,1607.1,672.3,185.3,96.5,595.8,448.3,870.4,119.9,135.4,1300.5,1814.5,1591.4,97.3,165.3,28.1,722.6,314.5
03-2001,6284,6048.3,538.4,344.5,626.7,1638.7,704.3,195.5,102.4,605.2,448,855.7,108.4,141.7,1291.8,1827.6,1567.9,93.7,161.9,32.5,734.3,313.3
04-2001,6364,6067.4,514,336.9,639.8,1651.4,711.6,190.1,105.1,603.5,448.7,859.6,114.2,140.9,1312.6,1836.4,1608.5,106.7,180.3,37.5,729.4,304.6
