Name,Date,Location,Latitude,Longitude,Deaths
Albert Guay Airplane Bombing,09-Sep-1949,"Montreal, Quebec",46.291681,-71.834106,23
Leonard Hogue Murder-suicide,21-Apr-1965,"Vancouver, British Columbia",49.282729,-123.120738,8
Shell Lake Murders,15-Aug-1967,"Shell Lake, Saskatchewan",53.306196,-107.062338,9
Buffalo Narrows Axe Slayings,30-Jan-1969,"Buffalo Narrows, Saskatchewan",55.86284,-108.47946,7
Dale Nelson Murders,04-Sep-1970,"Creston, British Columbia",49.09554,-116.513508,8
Blue Bird Café Fire,01-Sep-1972,"Montreal, Quebec",45.503285,-73.568265,37
Gargantua Nightclub Assassinations,21-Jan-2021,"Montreal, Quebec",45.541063,-73.598921,13
Brampton Centennial School shooting,28-May-1975,"Brampton, Ontario",43.666882,-79.74773,3
St. Pius X High School Shooting,27-Oct-1975,"Ottawa, Ontario",45.36518,-75.712405,3
Wells Gray Murders,02-Aug-1982,"Wells Gray Provincial Park, British Columbia",52.416667,-120.25,6
National Assembly Shootings,08-May-1984,"Quebec City, Quebec",46.80839,-71.214657,3
Lennoxville Massacre,24-Mar-1985,"Lennoxville, Quebec",45.367727,-71.856364,5
Air India Bombing,23-Jun-1985,Atlantic Ocean,51.06,-12.816667,329
École Polytechnique Massacre,06-Dec-1989,"Montreal, Quebec",45.504384,-73.612883,15
Ontario Glove Shooting,03-Feb-1992,"Waterloo, Ontario",43.495251,-80.531341,3
Sydney River McDonald's Murders,07-May-1992,"Sydney, Nova Scotia",46.107623,-60.224056,3
Concordia University Massacre,24-Aug-1992,"Montreal, Quebec",45.458111,-73.640285,4
Giant Mine Bombing,18-Sep-1992,"Yellowknife, Northwest Territories",62.498141,-114.360287,9
Mark Chahal Massacre,06-Apr-1996,"Vernon, B.C.",50.267014,-119.272011,9
Abbotsford Farmhouse Murders,01-Sep-1996,"Abbotsford, British Columbia",49.050438,-122.30447,5
OC Transpo Massacre,06-Apr-1999,"Ottawa, Ontario",45.413281,-75.632747,5
Cruse Family Murders,14-Jun-2002,"Grimsby, Ontario",43.194213,-79.562419,5
Shedden Massacre,08-Apr-2006,"Shedden, Ontario",42.739472,-81.345318,8
Dawson College Shooting,13-Sep-2006,"Montreal, Quebec",45.489698,-73.587785,2
Richardson Family Murders,22-Apr-2006,"Medicine Hat, Alberta",50.040549,-110.676426,3
Claresholm Highway Massacre,15-Dec-2011,"Claresholm, Alberta",50.019192,-113.583768,4
2014 Moncton Shootings,04-Jun-2014,"Moncton, New Brunswick",46.087817,-64.778231,3
2014 Edmonton Killings,29-Dec-2014,"Edmonton, Alberta",53.544389,-113.490927,9
La Loche Shootings,22-Jan-2016,"La Loche, Saskatchewan",56.488333,-109.445278,4
Scarborough Crossbow Attack,25-Aug-2016,"Scarborough, Toronto, Ontario",43.776426,-79.231752,3
Quebec City Mosque Shooting,29-Jan-2017,"Quebec City, Quebec",46.778056,-71.305278,6
