Year,Canada,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
1981-82,-15674,2133,-141,-251,-160,-148,-382,-1780,1,-2621,140
1982-83,-29049,-796,-1241,-435,-392,-191,-371,-3189,-25,-2463,-227
1983-84,-32363,129,-963,-429,-276,-326,-316,-3153,4,-2163,-332
1984-85,-37167,1245,-822,-483,-279,-252,-368,-2559,-4,-3873,-380
1985-86,-33389,-761,-857,-528,-213,-253,-353,-2614,-20,-3473,-579
1986-87,-29842,-4033,-635,-559,-368,-231,-277,-2634,-13,-2972,-1232
1987-88,-29017,-1365,71,-300,-335,-197,-227,-2489,-17,-2396,-542
1988-89,-27947,-2007,930,-141,-79,-226,-242,-1479,-11,-1704,-324
1989-90,-29143,-2116,496,-142,-24,-175,-267,90,-8,-1764,-378
1990-91,-33899,-1832,-667,-292,-182,-347,-257,-3029,-20,-2975,-361
1991-92,-32319,-2629,-2339,-334,-354,-276,-406,-10930,-50,-4301,-843
1992-93,-39019,-3324,-1476,-566,-264,-261,-617,-12428,-82,-5030,-592
1993-94,-38530,-1371,-899,-431,-266,-205,-546,-11202,-71,-4923,-272
1994-95,-36632,938,-228,-196,-79,-374,-233,-10129,-1,-5821,128
1995-96,-30006,1151,-317,157,41,-190,-201,-8800,4,-3947,19
1996-97,-8719,2489,-753,91,66,-107,-116,-6905,-4,-3212,407
1997-98,2959,2659,-167,76,0,133,-443,-3966,-7,-2157,35
1998-99,5779,1094,-961,31,-204,-187,-262,-2002,6,126,28
1999-00,14258,2791,-13,11,-30,-269,-797,668,-5,7,83
2000-01,19891,6571,1198,40,43,-350,147,1902,-12,427,58
2001-02,8048,1081,-1035,63,79,-468,113,375,-17,22,-483
2002-03,6621,2133,-2621,4,1,-644,28,117,-55,-728,-654
2003-04,9145,4136,-1342,-579,-197,-914,37,-5483,-125,-358,-100
2004-05,1463,5175,2689,562,221,-489,170,-1555,-34,-664,844
2005-06,13218,8551,2963,394,226,199,196,298,1,37,679
2006-07,13752,8510,3973,485,275,154,183,2269,24,109,574
2007-08,9597,4581,2746,558,240,1421,419,600,-4,0,1873
2008-09,-5755,-852,73,449,-153,2350,27,-6409,-31,110,2968
2009-10,-55598,-1032,-1812,-185,-696,-33,-269,-19262,-74,-3174,-409
2010-11,-33372,-3410,-247,-181,-618,598,585,-14011,-63,-3150,-13
2011-12,-26279,-23,-1850,-1001,-245,974,-259,-12969,-84,-2628,-105
2012-13,-18415,-2842,-1168,-752,-508,-195,-304,-9200,-79,-1600,37
2013-14,-5150,-302,327,-522,-499,-389,-669,-10500,-46,-2824,589
2014-15,1911,1115,1683,-451,-255,-924,-163,-10900,-35,-2350,62
2015-16,1400,-5884,277,-421,-471,-1093,-98,-8500,-20,33,-292
