Jurisdiction,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada,-4.3,-7.5,-7.7,-8.1,-6.7,-5.7,-5.1,-4.5,-4.4,-4.9,-4.6,-5.5,-5.2,-4.7,-3.6,-1,0.3,0.6,1.4,1.8,0.7,0.6,0.7,0.1,0.9,0.9,0.6,-0.3,-3.5,-2,-1.5,-1,-0.3,0.1,0.1
Alberta,3.9,-1.4,0.2,2,-1.1,-6.9,-2.2,-3.1,-3.1,-2.5,-3.5,-4.4,-1.7,1,1.2,2.5,2.4,1,2.3,4.5,0.7,1.4,2.4,2.7,3.8,3.5,1.8,-0.3,-0.4,-1.3,0,-0.9,-0.1,0.3,-1.8
British Columbia,-0.3,-2.7,-2,-1.6,-1.6,-1.1,0.1,1.3,0.6,-0.8,-2.8,-1.7,-0.9,-0.2,-0.3,-0.7,-0.1,-0.8,0,0.9,-0.8,-1.9,-0.9,1.7,1.7,2.1,1.4,0,-0.9,-0.1,-0.9,-0.5,0.1,0.7,0.1
Manitoba,-1.8,-3,-2.8,-2.8,-2.8,-2.9,-1.5,-0.6,-0.6,-1.2,-1.4,-2.3,-1.7,-0.7,0.6,0.3,0.3,0.1,0,0.1,0.2,0,-1.5,1.4,0.9,1.1,1.1,0.9,-0.4,-0.3,-1.8,-1.3,-0.9,-0.7,-0.6
New Brunswick,-2.4,-5.4,-3.3,-3,-2.2,-3.4,-2.8,-0.6,-0.2,-1.3,-2.5,-1.8,-1.8,-0.5,0.2,0.4,0,-1.1,-0.2,0.2,0.4,0,-0.9,0.9,0.9,1,0.9,-0.5,-2.4,-2.1,-0.8,-1.6,-1.6,-0.8,-1.4
Newfoundland and Labrador,-2.8,-3.4,-5.4,-3.9,-3.7,-3.1,-2.5,-2.6,-1.9,-3.7,-2.8,-2.7,-2.1,-3.6,-1.8,-1,1.2,-1.6,-2.2,-2.5,-3.2,-3.9,-5,-2.5,0.9,0.6,5,7.5,-0.1,2,2.9,-0.6,-1.1,-2.6,-3.3
Nova Scotia,-4.6,-3.9,-2.9,-3.1,-2.7,-2,-1.5,-1.5,-1.6,-1.5,-2.2,-3.3,-2.9,-1.2,-1,-0.6,-2.1,-1.2,-3.3,0.6,0.4,0.1,0.1,0.5,0.6,0.6,1.2,0.1,-0.8,1.6,-0.7,-0.8,-1.7,-0.4,-0.2
Ontario,-1.3,-2.3,-2,-1.5,-1.4,-1.2,-1.1,-0.6,0,-1.1,-3.8,-4.3,-3.7,-3.2,-2.6,-2,-1.1,-0.5,0.2,0.4,0.1,0,-1.1,-0.3,0.1,0.4,0.1,-1.1,-3.2,-2.2,-2,-1.4,-1.5,-1.5,-1.1
Prince Edward Island,0.1,-2.2,0.3,-0.3,-1.4,-0.8,-1,-0.6,-0.4,-0.9,-2.2,-3.5,-2.8,0,0.1,-0.1,-0.2,0.2,-0.2,-0.4,-0.5,-1.5,-3.3,-0.8,0,0.5,-0.1,-0.6,-1.5,-1.2,-1.6,-1.4,-0.8,-0.6,-0.2
Quebec,-3.2,-2.8,-2.3,-3.8,-3.2,-2.5,-1.8,-1.2,-1.2,-1.9,-2.7,-3.1,-3,-3.3,-2.2,-1.7,-1.1,0.1,0,0.2,0,-0.3,-0.1,-0.2,0,0,0,0,-1,-1,-0.8,-0.4,-0.8,-0.6,0
Saskatchewan,0.9,-1.5,-2,-2.2,-3.2,-6.9,-3,-1.7,-1.9,-1.7,-3.9,-2.7,-1.2,0.5,0.1,1.4,0.1,0.1,0.3,0.2,-1.4,-1.9,-0.3,2,1.5,1.2,3.6,4.4,-0.7,0,-0.1,0,0.7,0.1,-0.4
