Year,Canada,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
1981-82,-35887.1904,4883.7168,-322.8336,-574.6896,-366.336,-338.8608,-874.6272,-4075.488,2.2896,-6001.0416,320.544
1982-83,-62998.5663,-1726.2852,-2691.3567,-943.3845,-850.1304,-414.2217,-804.5877,-6915.9843,-54.2175,-5341.5081,-492.2949
1983-84,-67761.6494,270.1002,-2016.3294,-898.2402,-577.8888,-682.5788,-661.6408,-6601.7514,8.3752,-4528.8894,-695.1416
1984-85,-74746.5537,2503.8195,-1653.1242,-971.3613,-561.0969,-506.7972,-740.0848,-5146.4049,-8.0444,-7788.9903,-764.218
1985-86,-64400.7032,-1467.8168,-1652.9816,-1018.4064,-410.8344,-487.9864,-680.8664,-5041.8832,-38.576,-6698.7224,-1116.7752
1986-87,-55055.5058,-7440.4817,-1171.5115,-1031.2991,-678.9232,-426.1719,-511.0373,-4859.4666,-23.9837,-5483.0428,-2272.9168
1987-88,-51519.6835,-2423.5575,126.0605,-532.65,-594.7925,-349.7735,-403.0385,-4419.2195,-30.1835,-4254.098,-962.321
1988-89,-46562.4967,-3343.8627,1549.473,-234.9201,-131.6219,-376.5386,-403.1962,-2464.1619,-18.3271,-2839.0344,-539.8164
1989-90,-47200.0028,-3427.0736,803.3216,-229.9832,-38.8704,-283.43,-432.4332,145.764,-12.9568,-2856.9744,-612.2088
1990-91,-51804.4518,-2799.6624,-1019.3094,-446.2344,-278.1324,-530.2854,-392.7474,-4628.9178,-30.564,-4546.395,-551.6802
1991-92,-48863.0961,-3974.7851,-3536.3341,-504.9746,-535.2126,-417.2844,-613.8314,-16525.067,-75.595,-6502.6819,-1274.5317
1992-93,-57958.8226,-4937.4696,-2192.4504,-840.7364,-392.1456,-387.6894,-916.4918,-18460.5512,-121.8028,-7471.562,-879.3568
1993-94,-57166.961,-2034.1527,-1333.8463,-639.4747,-394.6642,-304.1585,-810.1002,-16620.4074,-105.3427,-7304.2551,-403.5664
1994-95,-53171.348,1361.507,-330.942,-284.494,-114.6685,-542.861,-338.1995,-14702.2435,-1.4515,-8449.1815,185.792
1995-96,-42917.5818,1646.2753,-453.4051,224.5571,58.6423,-271.757,-287.4903,-12586.64,5.7212,-5645.3941,27.1757
1996-97,-12251.0669,3497.2939,-1058.0403,127.8641,92.7366,-150.3457,-162.9916,-9702.2155,-5.6204,-4513.1812,571.8757
1997-98,4121.2952,3703.4552,-232.5976,105.8528,0,185.2424,-617.0104,-5523.8448,-9.7496,-3004.2696,48.748
1998-99,7884.8676,1492.6536,-1311.1884,42.2964,-278.3376,-255.1428,-357.4728,-2731.5288,8.1864,171.9144,38.2032
1999-00,18965.9916,3712.5882,-17.2926,14.6322,-39.906,-357.8238,-1060.1694,888.5736,-6.651,9.3114,110.4066
2000-01,25732.9867,8500.9027,1549.8526,51.748,55.6291,-452.795,190.1739,2460.6174,-15.5244,552.4099,75.0346
2001-02,10153.3568,1363.7896,-1305.756,79.4808,99.6664,-590.4288,142.5608,473.1,-21.4472,27.7552,-609.3528
2002-03,8190.8391,2638.7343,-3242.4391,4.9484,1.2371,-796.6924,34.6388,144.7407,-68.0405,-900.6088,-809.0634
2003-04,11108.4315,5023.9992,-1630.1274,-703.3113,-239.2959,-1110.2358,44.9439,-6660.2001,-151.8375,-434.8626,-121.47
2004-05,1732.4846,6128.235,3184.3138,665.5204,261.7082,-579.0738,201.314,-1841.431,-40.2628,-786.3088,999.4648
2005-06,15324.9492,9914.0294,3435.3022,456.8036,262.0244,230.7206,227.2424,345.5012,1.1594,42.8978,787.2326
2006-07,15673.1544,9698.847,4528.0281,552.7545,313.4175,175.5138,208.5651,2585.9793,27.3528,124.2273,654.1878
2007-08,10568.2164,5044.5972,3023.8952,614.4696,264.288,1564.8052,461.4028,660.72,-4.4048,0,2062.5476
2008-09,-6387.4745,-945.6348,81.0227,498.3451,-169.8147,2608.265,29.9673,-7113.3491,-34.4069,122.089,3294.1832
2009-10,-60646.2984,-1125.7056,-1976.5296,-201.798,-759.1968,-35.9964,-293.4252,-21010.9896,-80.7192,-3462.1992,-446.1372
2010-11,-35314.2504,-3608.462,-261.3754,-191.5342,-653.9676,632.8036,619.047,-14826.4402,-66.6666,-3333.33,-13.7566
2011-12,-27466.8108,-24.0396,-1933.62,-1046.2452,-256.074,1018.0248,-270.7068,-13555.1988,-87.7968,-2746.7856,-109.746
2012-13,-19042.9515,-2938.9122,-1207.8288,-777.6432,-525.3228,-201.6495,-314.3664,-9513.72,-81.6939,-1654.56,38.2617
2013-14,-5215.405,-305.8354,331.1529,-528.6294,-505.3373,-393.9403,-677.4963,-10633.35,-46.5842,-2859.8648,596.4803
2014-15,1900,1115,1683,-451,-255,-924,-163,-10900,-35,-2350,62
2015-16,1400,-5884,277,-421,-471,-1093,-98,-8500,-20,33,-292
