Jurisdiction,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada,-15674,-29049,-32363,-37167,-33389,-29842,-29017,-27947,-29143,-33899,-32319,-39019,-38530,-36632,-30006,-8719,2959,5779,14258,19891,8048,6621,9145,1463,13218,13752,9597,-5755,-55598,-33372,-26279,-18415,-5150,1911,1400
Alberta,2133,-796,129,1245,-761,-4033,-1365,-2007,-2116,-1832,-2629,-3324,-1371,938,1151,2489,2659,1094,2791,6571,1081,2133,4136,5175,8551,8510,4581,-852,-1032,-3410,-23,-2842,-302,1115,-5884
British Columbia,-141,-1241,-963,-822,-857,-635,71,930,496,-667,-2339,-1476,-899,-228,-317,-753,-167,-961,-13,1198,-1035,-2621,-1342,2689,2963,3973,2746,73,-1812,-247,-1850,-1168,327,1683,277
Manitoba,-251,-435,-429,-483,-528,-559,-300,-141,-142,-292,-334,-566,-431,-196,157,91,76,31,11,40,63,4,-579,562,394,485,558,449,-185,-181,-1001,-752,-522,-451,-421
New Brunswick,-160,-392,-276,-279,-213,-368,-335,-79,-24,-182,-354,-264,-266,-79,41,66,0,-204,-30,43,79,1,-197,221,226,275,240,-153,-696,-618,-245,-508,-499,-255,-471
Newfoundland and Labrador,-148,-191,-326,-252,-253,-231,-197,-226,-175,-347,-276,-261,-205,-374,-190,-107,133,-187,-269,-350,-468,-644,-914,-489,199,154,1421,2350,-33,598,974,-195,-389,-924,-1093
Nova Scotia,-382,-371,-316,-368,-353,-277,-227,-242,-267,-257,-406,-617,-546,-233,-201,-116,-443,-262,-797,147,113,28,37,170,196,183,419,27,-269,585,-259,-304,-669,-163,-98
Ontario,-1780,-3189,-3153,-2559,-2614,-2634,-2489,-1479,90,-3029,-10930,-12428,-11202,-10129,-8800,-6905,-3966,-2002,668,1902,375,117,-5483,-1555,298,2269,600,-6409,-19262,-14011,-12969,-9200,-10500,-10900,-8500
Prince Edward Island,1,-25,4,-4,-20,-13,-17,-11,-8,-20,-50,-82,-71,-1,4,-4,-7,6,-5,-12,-17,-55,-125,-34,1,24,-4,-31,-74,-63,-84,-79,-46,-35,-20
Quebec,-2621,-2463,-2163,-3873,-3473,-2972,-2396,-1704,-1764,-2975,-4301,-5030,-4923,-5821,-3947,-3212,-2157,126,7,427,22,-728,-358,-664,37,109,0,110,-3174,-3150,-2628,-1600,-2824,-2350,33
Saskatchewan,140,-227,-332,-380,-579,-1232,-542,-324,-378,-361,-843,-592,-272,128,19,407,35,28,83,58,-483,-654,-100,844,679,574,1873,2968,-409,-13,-105,37,589,62,-292
