Election #,General Election,Dissolution of Previous Parliament (yyyy-mm-dd),Writs Issued (yyyy-mm-dd),"Election Day (yyyy-mm-dd)",Number of Days from Dissolution to Election,Number of Days from Writ to Election
41,41st,2011-03-26,2011-03-26,2011-05-02,37,37
40,40th,2008-09-07,2008-09-07,2008-10-14,37,37
39,39th,2005-11-29,2005-11-29,2006-01-23,55,55
38,38th,2004-05-23,2004-05-23,2004-06-28,36,36
37,37th,2000-10-22,2000-10-22,2000-11-27,36,36
36,36th,1997-04-27,1997-04-27,1997-06-02,36,36
35,35th,1993-09-08,1993-09-08,1993-10-25,47,47
34,34th,1988-10-01,1988-10-01,1988-11-21,51,51
33,33rd,1984-07-09,1984-07-09,1984-09-04,57,57
32,32nd,1979-12-14,1979-12-14,1980-02-18,66,66
31,31st,1979-03-26,1979-03-26,1979-05-22,57,57
30,30th,1974-05-09,1974-05-09,1974-07-08,60,60
29,29th,1972-09-01,1972-09-01,1972-10-30,59,59
28,28th,1968-04-23,1968-04-23,1968-06-25,63,63
27,27th,1965-09-08,1965-09-08,1965-11-08,61,61
26,26th,1963-02-06,1963-02-06,1963-04-08,61,61
25,25th,1962-04-19,1962-04-19,1962-06-18,60,60
24,24th,1958-02-01,1958-02-01,1958-03-31,58,58
23,23rd,1957-04-12,1957-04-12,1957-06-10,59,59
22,22nd,1953-06-13,1953-06-13,1953-08-10,58,58
21,21st,1949-04-30,1949-04-30,1949-06-27,58,58
20,20th,1945-04-16,1945-04-16,1945-06-11,56,56
19,19th,1940-01-25,1940-01-27,1940-03-26,61,59
18,18th,1935-08-15,1935-08-15,1935-10-14,60,60
17,17th,1930-05-30,1930-05-30,1930-07-28,59,59
16,16th,1926-07-02,1926-07-20,1926-09-14,74,56
15,15th,1925-09-05,1925-09-05,1925-10-29,54,54
14,14th,1921-10-04,1921-10-08,1921-12-06,63,59
13,13th,1917-10-06,1917-10-31,1917-12-17,72,47
12,12th,1911-07-29,1911-08-03,1911-09-21,54,49
11,11th,1908-09-17,1908-09-18,1908-10-26,39,38
10,10th,1904-09-29,1904-09-29,1904-11-03,35,35
9,9th,1900-10-09,1900-10-09,1900-11-07,29,29
8,8th,1896-04-24,1896-04-24,1896-06-23,60,60
7,7th,1891-02-03,1891-02-04,1891-03-05,30,29
6,6th,1887-01-15,1887-01-17,1887-02-22,38,36
5,5th,1882-05-18,1882-05-18,1882-06-20,33,33
4,4th,1878-08-17,1878-08-17,1878-09-17,31,31
3,3rd,1874-01-02,1874-01-02,1874-01-22,20,20
2,2nd,1872-07-08,1872-07-15,1872-07-20-1872-10-12,12-96,5-89
1,1st,n/a,1867-08-06,1867-08-07-1867-09-20,n/a,1-45
