Year,Canada,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
1981-82,107622,-8252,-1404,1436,1056,2042,1356,13755,103,12569,-1092
1982-83,136671,-7463,-420,1857,1444,2144,1875,16942,129,15038,-712
1983-84,157252,-7229,592,2512,1709,2421,2285,20182,125,17297,-346
1984-85,194419,-7219,1586,3144,1967,2718,2749,22848,129,21454,65
1985-86,227808,-11817,2553,3861,2147,3023,3235,28919,149,25734,666
1986-87,257650,-7784,3714,3767,2588,3150,3504,31531,163,28716,1965
1987-88,286667,-6419,3762,4415,2919,3289,3756,34020,179,31115,2517
1988-89,314614,-4412,3533,4332,2993,3195,3947,35499,191,32819,2885
1989-90,343757,-2296,5538,4449,3013,3369,4454,35409,199,34583,3316
1990-91,377656,-464,6312,4773,3236,3550,4731,38438,219,37558,3688
1991-92,409975,2165,8843,5216,3603,3918,5426,49368,269,41885,5999
1992-93,448994,7054,10529,6378,5297,4270,7288,61796,351,46914,6587
1993-94,487524,8313,11507,6806,5810,6453,8120,80599,772,51837,7769
1994-95,524156,7355,11954,6901,5889,6831,8514,90728,990,57677,7641
1995-96,554162,6255,12162,6854,5850,7121,8715,101864,986,61624,7622
1996-97,562881,3728,12338,6474,5783,7254,9139,108769,990,64833,7215
1997-98,559922,1089,12515,9719,5788,7301,9290,112735,997,88597,7180
1998-99,554143,63,21914,9926,5992,7851,10298,114737,990,88810,7152
1999-00,539885,-2654,22966,10046,7056,8087,11231,134398,1024,89162,7069
2000-01,519994,-9042,23136,9888,6915,8437,11370,132496,1036,88208,7011
2001-02,511946,-9814,24797,10001,6759,8932,12144,132121,1053,92772,8708
2002-03,505325,-11696,27691,10341,6865,10616,12226,132647,1178,95601,9284
2003-04,496180,-15607,28876,11052,7067,11487,12328,138816,1313,97025,9318
2004-05,494717,-20398,27152,11101,6943,11888,12305,140921,1330,99042,8600
2005-06,481499,-28318,27040,10952,6901,11684,12239,152702,1323,104683,7870
2006-07,467268,-36047,24513,10800,6761,11558,12357,153742,1312,124297,7430
2007-08,457637,-39410,23811,10561,7152,10188,12115,156616,1347,124681,5873
2008-09,463710,-36954,26160,11413,7608,7968,12318,169585,1415,134237,3524
2009-10,519097,-33017,29372,11643,8629,8220,13045,193589,1581,151608,3560
2010-11,550327,-28114,32279,12562,9700,8129,12827,214511,1709,159289,3783
2011-12,583576,-26728,36024,14550,10126,7837,13383,235582,1908,167111,4543
2012-13,609391,-22741,38298,15893,11085,8348,13942,252100,2040,175487,5109
2013-14,611881,-13032,39085,17344,11641,9085,14762,267200,2099,181261,4615
2014-15,612330,-13054,38902,18775,12018,10260,15031,284100,2149,190402,5552
2015-16,617000,-3917,40821,20426,12602,11528,15118,298900,2177,193002,6718
