Year,Canada,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
1981-82,4336,-3602,-497,1387,1495,3549,1586,1561,834,1920,-1119
1982-83,5441,-3149,-146,1777,2041,3737,2183,1899,1044,2285,-722
1983-84,6199,-3020,204,2370,2391,4180,2632,2233,999,2620,-346
1984-85,7592,-3016,538,2933,2730,4686,3133,2492,1019,3235,64
1985-86,8815,-4915,858,3567,2968,5219,3652,3111,1168,3861,650
1986-87,9872,-3199,1237,3451,3570,5466,3941,3341,1269,4281,1910
1987-88,10839,-2630,1234,4020,4011,5718,4203,3530,1391,4588,2437
1988-89,11743,-1796,1134,3930,4098,5557,4399,3608,1477,4800,2806
1989-90,12603,-919,1732,4031,4099,5843,4928,3505,1529,4994,3253
1990-91,13638,-182,1917,4318,4372,6149,5196,3733,1679,5368,3660
1991-92,14622,835,2621,4701,4833,6759,5930,4733,2063,5927,5983
1992-93,15826,2679,3035,5732,7080,7361,7926,5845,2683,6598,6561
1993-94,16996,3117,3225,6090,7759,11126,8789,7540,5841,7243,7716
1994-95,18074,2723,3252,6144,7850,11891,9186,8386,7419,8019,7569
1995-96,18912,2287,3220,6070,7790,12550,9390,9303,7335,8536,7515
1996-97,19010,1343,3185,5708,7687,12961,9813,9814,7294,8946,7081
1997-98,18723,385,3169,8554,7692,13253,9964,10041,7326,12179,7054
1998-99,18376,22,5502,8726,7984,14543,11051,10095,7290,12173,7030
1999-00,17759,-899,5725,8793,9400,15163,12027,11682,7514,12175,6968
2000-01,16946,-3010,5728,8618,9214,15980,12176,11341,7591,11990,6958
2001-02,16503,-3209,6082,8686,9014,17110,13023,11105,7705,12543,8706
2002-03,16114,-3739,6754,8941,9161,20436,13074,10969,8606,12847,9314
2003-04,15681,-4903,7002,9499,9430,22157,13147,11338,9569,12962,9351
2004-05,15490,-6299,6535,9462,9265,22976,13096,11374,9660,13144,8623
2005-06,14934,-8525,6445,9295,9225,22718,13049,12189,9583,13808,7921
2006-07,14346,-10536,5779,9125,9068,22637,13176,12142,9517,16287,7488
2007-08,13915,-11215,5549,8880,9594,20014,12956,12270,9781,16208,5861
2008-09,13948,-10277,6015,9521,10187,15421,13162,13164,10199,17295,3464
2009-10,15436,-8974,6659,9634,11506,15748,13905,14894,11297,19329,3440
2010-11,16184,-7532,7228,10289,12882,15723,13616,16331,12062,20088,3598
2011-12,16993,-7052,8007,11794,13402,14875,14170,17762,13247,20869,4261
2012-13,17535,-5848,8431,12709,14646,15849,14756,18796,14041,21706,4699
2013-14,17406,-3252,8529,13706,15406,17200,15655,19737,14426,22230,4172
2014-15,17229,-3167,8400,14645,15941,19469,15944,20779,14689,23177,4933
