Jurisdiction,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada,4336,5441,6199,7592,8815,9872,10839,11743,12603,13638,14622,15826,16996,18074,18912,19010,18723,18376,17759,16946,16503,16114,15681,15490,14934,14346,13915,13948,15436,16184,16993,17535,17406,17229,17172
Alberta,-3602,-3149,-3020,-3016,-4915,-3199,-2630,-1796,-919,-182,835,2679,3117,2723,2287,1343,385,22,-899,-3010,-3209,-3739,-4903,-6299,-8525,-10536,-11215,-10277,-8974,-7532,-7052,-5848,-3252,-3167,-932
British Columbia,-497,-146,204,538,858,1237,1234,1134,1732,1917,2621,3035,3225,3252,3220,3185,3169,5502,5725,5728,6082,6754,7002,6535,6445,5779,5549,6015,6659,7228,8007,8431,8529,8400,8706
Manitoba,1387,1777,2370,2933,3567,3451,4020,3930,4031,4318,4701,5732,6090,6144,6070,5708,8554,8726,8793,8618,8686,8941,9499,9462,9295,9125,8880,9521,9634,10289,11794,12709,13706,14645,15751
New Brunswick,1495,2041,2391,2730,2968,3570,4011,4098,4099,4372,4833,7080,7759,7850,7790,7687,7692,7984,9400,9214,9014,9161,9430,9265,9225,9068,9594,10187,11506,12882,13402,14646,15406,15941,16716
Newfoundland and Labrador,3549,3737,4180,4686,5219,5466,5718,5557,5843,6149,6759,7361,11126,11891,12550,12961,13253,14543,15163,15980,17110,20436,22157,22976,22718,22637,20014,15421,15748,15723,14875,15849,17200,19469,21908
Nova Scotia,1586,2183,2632,3133,3652,3941,4203,4399,4928,5196,5930,7926,8789,9186,9390,9813,9964,11051,12027,12176,13023,13074,13147,13096,13049,13176,12956,13162,13905,13616,14170,14756,15655,15944,16021
Ontario,1561,1899,2233,2492,3111,3341,3530,3608,3505,3733,4733,5845,7540,8386,9303,9814,10041,10095,11682,11341,11105,10969,11338,11374,12189,12142,12270,13164,14894,16331,17762,18796,19737,20779,21644
Prince Edward Island,834,1044,999,1019,1168,1269,1391,1477,1529,1679,2063,2683,5841,7419,7335,7294,7326,7290,7514,7591,7705,8606,9569,9660,9583,9517,9781,10199,11297,12062,13247,14041,14426,14689,14826
Quebec,1920,2285,2620,3235,3861,4281,4588,4800,4994,5368,5927,6598,7243,8019,8536,8946,12179,12173,12175,11990,12543,12847,12962,13144,13808,16287,16208,17295,19329,20088,20869,21706,22230,23177,23304
Saskatchewan,-1119,-722,-346,64,650,1910,2437,2806,3253,3660,5983,6561,7716,7569,7515,7081,7054,7030,6968,6958,8706,9314,9351,8623,7921,7488,5861,3464,3440,3598,4261,4699,4172,4933,5875
