Year,Canada,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
1981-82,29.4,-15.2,-3.1,10.4,16,39.2,16.5,10.4,9.6,15.3,-7.3
1982-83,35.3,-12.9,-0.9,13,19.8,38,19.8,12.1,11.1,17.2,-4.7
1983-84,37.5,-12.2,1.2,16.4,20.5,39.9,21.3,12.9,9.2,18.3,-2.1
1984-85,42.4,-11.5,3.1,18.2,21.4,42,23.1,13,9.2,20.8,0.4
1985-86,46,-17.5,4.7,20.6,22,44.6,25.1,15,10.3,23.4,3.7
1986-87,49.4,-13.3,6.4,19.5,23.7,42.9,25,14.9,9.8,24,11
1987-88,50.4,-10.6,5.9,21.4,24.3,41.6,25.1,14.5,10.2,23.7,13.7
1988-89,50.5,-6.8,5,19.5,23.3,37.3,24.9,13.7,9.8,22.9,15.2
1989-90,51.5,-3.4,7.2,18.8,22.4,37.1,26.4,12.6,9.5,22.9,16.5
1990-91,54.7,-0.6,7.8,19.5,23.5,38.1,26.9,13.4,10,24.1,17.2
1991-92,58.8,2.9,10.6,21.4,25.8,40.3,29.8,17.1,11.8,26.5,27.7
1992-93,62.9,9.3,11.8,25.7,36.8,43.9,38.9,21.2,15.1,29.1,30.4
1993-94,65.7,10.1,12,27.2,38.6,65,43,26.9,30.9,31.4,33.6
1994-95,66.6,8.2,11.7,26.1,37.5,65.6,44.1,28.6,38.7,33.1,30.9
1995-96,67.1,6.7,11.3,25,34.7,65.6,43.8,30.3,36.6,34,28.5
1996-97,65.8,3.7,11.1,22.4,33.8,68.3,45.2,31.5,34.7,35.1,24.6
1997-98,62.1,1,10.7,32.4,33.5,68.2,44.1,30.7,35.1,45.9,24.5
1998-99,59.2,0.1,18.6,31.5,33.2,69.2,46.6,29.7,32.8,44.2,23.9
1999-00,53.9,-2.2,18.6,30.8,36.1,65.2,47.1,32.3,32.1,41.3,22.6
2000-01,47.4,-6.2,17.3,28.5,33.6,59.4,44.4,29.5,30.6,38.2,20.4
2001-02,45.1,-6.4,18.2,27.9,32,61.8,45.2,28.4,30.5,38.9,25.8
2002-03,42.8,-7.7,19.7,27.8,31.7,63.5,43.6,27.1,31.7,38.4,26.5
2003-04,39.9,-9.0,19.4,28.9,31.1,62.4,41.2,27.5,34.3,37.4,24.9
2004-05,37.3,-10.5,16.9,27.3,28.8,60.5,39.7,26.6,33.1,36.5,20.7
2005-06,34.1,-12.6,15.6,25.7,27.3,52.5,37.8,27.6,31.9,37.3,17.4
2006-07,31.4,-14.7,13.1,23.4,25.6,47.9,37.8,26.8,29.9,42.7,16.0
2007-08,29.2,-15.2,12.1,21.4,25.7,36.0,35.7,26.2,29.2,40.8,11.2
2008-09,28.2,-12.5,12.8,22.0,26.8,25.3,36.2,28.1,29.7,42.8,5.2
2009-10,33.1,-13.4,15.0,23.0,29.9,32.9,37.0,32.5,32.0,48.0,5.9
2010-11,33.1,-10.4,15.7,23.7,32.2,28.4,34.6,34.1,32.9,48.3,6.0
2011-12,33.0,-8.9,16.6,26.1,32.2,23.4,34.9,35.8,35.3,48.3,6.1
2012-13,33.3,-7.2,17.2,26.9,34.9,25.8,36.5,37.1,37.0,49.1,6.5
2013-14,32.3,-3.6,17.0,28.3,36.5,25.4,37.7,38.4,36.3,50.0,5.5
2014-15,31.0,-3.6,16.3,29.5,37.0,29.2,37.1,39.4,36.0,50.7,6.7
