Jurisdiction,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada,29.4,35.3,37.5,42.4,46,49.4,50.4,50.5,51.5,54.7,58.8,62.9,65.7,66.6,67.1,65.8,62.1,59.2,53.9,47.4,45.1,42.8,39.9,37.3,34.1,31.4,29.2,28.2,33.1,33.1,33,33.3,32.3,31,30.7
Alberta,-15.2,-12.9,-12.2,-11.5,-17.5,-13.3,-10.6,-6.8,-3.4,-0.6,2.9,9.3,10.1,8.2,6.7,3.7,1,0.1,-2.2,-6.2,-6.4,-7.7,-9,-10.5,-12.6,-14.7,-15.2,-12.5,-13.4,-10.4,-8.9,-7.2,-3.6,-3.6,-1.2
British Columbia,-3.1,-0.9,1.2,3.1,4.7,6.4,5.9,5,7.2,7.8,10.6,11.8,12,11.7,11.3,11.1,10.7,18.6,18.6,17.3,18.2,19.7,19.4,16.9,15.6,13.1,12.1,12.8,15,15.7,16.6,17.2,17,16.3,16.6
Manitoba,10.4,13,16.4,18.2,20.6,19.5,21.4,19.5,18.8,19.5,21.4,25.7,27.2,26.1,25,22.4,32.4,31.5,30.8,28.5,27.9,27.8,28.9,27.3,25.7,23.4,21.4,22,23,23.7,26.1,26.9,28.3,29.5,30.9
New Brunswick,16,19.8,20.5,21.4,22,23.7,24.3,23.3,22.4,23.5,25.8,36.8,38.6,37.5,34.7,33.8,33.5,33.2,36.1,33.6,32,31.7,31.1,28.8,27.3,25.6,25.7,26.8,29.9,32.2,32.2,34.9,36.5,37,37.5
Newfoundland and Labrador,39.2,38,39.9,42,44.6,42.9,41.6,37.3,37.1,38.1,40.3,43.9,65,65.6,65.6,68.3,68.2,69.2,65.2,59.4,61.8,63.5,62.4,60.5,52.5,47.9,36,25.3,32.9,28.4,23.4,25.8,25.4,29.2,35
Nova Scotia,16.5,19.8,21.3,23.1,25.1,25,25.1,24.9,26.4,26.9,29.8,38.9,43,44.1,43.8,45.2,44.1,46.6,47.1,44.4,45.2,43.6,41.2,39.7,37.8,37.8,35.7,36.2,37,34.6,34.9,36.5,37.7,37.1,36.4
Ontario,10.4,12.1,12.9,13,15,14.9,14.5,13.7,12.6,13.4,17.1,21.2,26.9,28.6,30.3,31.5,30.7,29.7,32.3,29.5,28.4,27.1,27.5,26.6,27.6,26.8,26.2,28.1,32.5,34.1,35.8,37.1,38.4,39.4,39.8
Prince Edward Island,9.6,11.1,9.2,9.2,10.3,9.8,10.2,9.8,9.5,10,11.8,15.1,30.9,38.7,36.6,34.7,35.1,32.8,32.1,30.6,30.5,31.7,34.3,33.1,31.9,29.9,29.2,29.7,32,32.9,35.3,37,36.3,36,35.2
Quebec,15.3,17.2,18.3,20.8,23.4,24,23.7,22.9,22.9,24.1,26.5,29.1,31.4,33.1,34,35.1,45.9,44.2,41.3,38.2,38.9,38.4,37.4,36.5,37.3,42.7,40.8,42.8,48,48.3,48.3,49.1,50,50.7,49.5
Saskatchewan,-7.3,-4.7,-2.1,0.4,3.7,11,13.7,15.2,16.5,17.2,27.7,30.4,33.6,30.9,28.5,24.6,24.5,23.9,22.6,20.4,25.8,26.5,24.9,20.7,17.4,16,11.2,5.2,5.9,6,6.1,6.5,5.5,6.7,8.5
