Year,Canada,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
1981-82,246411.3312,-18893.7792,-3214.5984,3287.8656,2417.8176,4675.3632,3104.6976,31493.448,235.8288,28777.9824,-2500.2432
1982-83,296398.3977,-16185.0081,-910.854,4027.2759,3131.6028,4649.6928,4066.3125,36742.1154,279.7623,32612.9106,-1544.1144
1983-84,329254.2376,-15136.0802,1239.5296,5259.6256,3578.3042,5069.0898,4784.333,42257.0716,261.725,36216.4586,-724.4548
1984-85,390996.0509,-14518.1309,3189.6046,6322.8984,3955.8337,5466.1698,5528.5139,45949.6128,259.4319,43146.1394,130.7215
1985-86,439396.0704,-22792.6296,4924.2264,7447.0968,4141.1336,5830.7624,6239.668,55778.9672,287.3912,49635.7392,1284.5808
1986-87,475338.485,-14360.7016,6851.9586,6949.7383,4774.6012,5811.435,6464.5296,58171.5419,300.7187,52978.1484,3625.2285
1987-88,508977.2585,-11396.9345,6679.431,7838.8325,5182.6845,5839.6195,6668.778,60402.51,317.8145,55244.6825,4468.9335
1988-89,524178.3854,-7350.8332,5886.3313,7217.5452,4986.6373,5323.1895,6576.0967,59144.8839,318.2251,54679.7359,4806.6985
1989-90,556748.8372,-3718.6016,8969.3448,7205.6004,4879.8548,5456.4324,7213.6984,57348.4164,322.3004,56010.6268,5370.5936
1990-91,577133.8992,-709.0848,9645.9984,7294.0986,4945.2552,5425.11,7229.9142,58740.9516,334.6758,57396.1356,5636.0016
1991-92,619841.2025,3273.2635,13369.7317,7886.0704,5447.3757,5923.6242,8203.5694,74639.4792,406.7011,63325.9315,9069.8881
1992-93,666935.6876,10478.0116,15639.7766,9473.8812,7868.1638,6342.658,10825.5952,91791.7784,521.3754,69686.0556,9784.3298
1993-94,723339.3588,12333.9981,17072.9359,10098.0622,8620.297,9574.3161,12047.644,119584.7363,1145.4164,76910.5569,11526.8653
1994-95,760812.434,10675.7825,17351.231,10016.8015,8547.8835,9915.1965,12358.071,131691.692,1436.985,83718.1655,11090.9115
1995-96,792617.9086,8946.5265,17395.3086,9803.2762,8367.255,10185.1663,12465.0645,145696.0792,1410.2758,88140.8072,10901.7466
1996-97,790904.0931,5238.2128,17336.1238,9096.6174,8125.6933,10192.5954,12841.2089,152831.3219,1391.049,91096.8483,10137.7965
1997-98,779859.3616,1516.7592,17430.892,13536.6232,8061.5264,10168.8328,12939.112,157017.308,1388.6216,123397.9016,10000.304
1998-99,756072.7092,85.9572,29899.4616,13543.0344,8175.4848,10711.9044,14050.5912,156547.1628,1350.756,121172.364,9758.1888
1999-00,718155.027,-3530.3508,30549.3732,13363.1892,9385.8912,10757.3274,14939.4762,178776.2196,1362.1248,118603.2924,9403.1838
2000-01,672716.2378,-11697.6354,29931.0432,12792.1056,8945.9355,10914.9469,14709.369,171410.0752,1340.2732,114114.6896,9070.1307
2001-02,645871.0736,-12381.3424,31283.8952,12617.2616,8527.1544,11268.6112,15320.8704,166683.8536,1328.4648,117041.1552,10986.0128
2002-03,625137.5575,-14469.1216,34256.5361,12792.8511,8492.6915,13133.0536,15124.7846,164097.6037,1457.3038,118267.9971,11485.2364
2003-04,602709.846,-18957.8229,35075.6772,13424.8644,8584.2849,13953.2589,14974.8216,168619.7952,1594.9011,117856.2675,11318.5746
2004-05,585843.8714,-24155.3116,32153.3984,13145.8042,8221.9006,14077.7696,14571.581,166878.6482,1574.986,117285.5364,10184.12
2005-06,558249.9406,-32831.8892,31350.176,12697.7488,8001.0194,13546.4296,14189.8966,177042.6988,1533.8862,121369.4702,9124.478
2006-07,532545.3396,-41082.7659,27937.4661,12308.76,7705.5117,13172.6526,14083.2729,175219.7574,1495.2864,141661.2909,8467.971
2007-08,503949.8644,-43398.292,26220.6732,11629.7732,7875.7824,11219.0256,13341.038,172465.5392,1483.3164,137298.7172,6467.3476
2008-09,514671.729,-41015.2446,29034.984,12667.2887,8444.1192,8843.6832,13671.7482,188222.3915,1570.5085,148989.6463,3911.2876
2009-10,566231.0076,-36014.9436,32038.9776,12700.1844,9412.5132,8966.376,14229.486,211166.8812,1724.5548,165374.0064,3883.248
2010-11,582356.0314,-29750.2348,34157.6378,13293.1084,10264.54,8602.1078,13573.5314,226995.5402,1808.4638,168559.6198,4003.1706
2011-12,609953.6352,-27936.1056,37652.2848,15207.66,10583.6952,8191.2324,13987.9116,246230.3064,1994.2416,174664.4172,4748.3436
2012-13,630171.2331,-23516.4681,39603.9618,16434.9513,11462.9985,8632.6668,14417.4222,260696.61,2109.564,181471.1067,5283.2169
2013-14,619651.8887,-13197.5064,39581.3795,17564.2688,11788.8407,9200.3795,14949.4774,270593.44,2125.6573,183563.0147,4673.6105
2014-15,612330,-13054,38902,18775,12018,10260,15031,284100,2149,190402,5552
2015-16,617000,-3917,40821,20426,12602,11528,15118,298900,2177,193002,6718
