Jurisdiction,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada,246411.3312,296398.3977,329254.2376,390996.0509,439396.0704,475338.485,508977.2585,524178.3854,556748.8372,577133.8992,619841.2025,666935.6876,723339.3588,760812.434,792617.9086,790904.0931,779859.3616,756072.7092,718155.027,672716.2378,645871.0736,625137.5575,602709.846,585843.8714,558249.9406,532545.3396,503949.8644,514671.729,566231.0076,582356.0314,609953.6352,630171.2331,619651.8887,612330,617000
Alberta,-18893.7792,-16185.0081,-15136.0802,-14518.1309,-22792.6296,-14360.7016,-11396.9345,-7350.8332,-3718.6016,-709.0848,3273.2635,10478.0116,12333.9981,10675.7825,8946.5265,5238.2128,1516.7592,85.9572,-3530.3508,-11697.6354,-12381.3424,-14469.1216,-18957.8229,-24155.3116,-32831.8892,-41082.7659,-43398.292,-41015.2446,-36014.9436,-29750.2348,-27936.1056,-23516.4681,-13197.5064,-13054,-3917
British Columbia,-3214.5984,-910.854,1239.5296,3189.6046,4924.2264,6851.9586,6679.431,5886.3313,8969.3448,9645.9984,13369.7317,15639.7766,17072.9359,17351.231,17395.3086,17336.1238,17430.892,29899.4616,30549.3732,29931.0432,31283.8952,34256.5361,35075.6772,32153.3984,31350.176,27937.4661,26220.6732,29034.984,32038.9776,34157.6378,37652.2848,39603.9618,39581.3795,38902,40821
Manitoba,3287.8656,4027.2759,5259.6256,6322.8984,7447.0968,6949.7383,7838.8325,7217.5452,7205.6004,7294.0986,7886.0704,9473.8812,10098.0622,10016.8015,9803.2762,9096.6174,13536.6232,13543.0344,13363.1892,12792.1056,12617.2616,12792.8511,13424.8644,13145.8042,12697.7488,12308.76,11629.7732,12667.2887,12700.1844,13293.1084,15207.66,16434.9513,17564.2688,18775,20426
New Brunswick,2417.8176,3131.6028,3578.3042,3955.8337,4141.1336,4774.6012,5182.6845,4986.6373,4879.8548,4945.2552,5447.3757,7868.1638,8620.297,8547.8835,8367.255,8125.6933,8061.5264,8175.4848,9385.8912,8945.9355,8527.1544,8492.6915,8584.2849,8221.9006,8001.0194,7705.5117,7875.7824,8444.1192,9412.5132,10264.54,10583.6952,11462.9985,11788.8407,12018,12602
Newfoundland and Labrador,4675.3632,4649.6928,5069.0898,5466.1698,5830.7624,5811.435,5839.6195,5323.1895,5456.4324,5425.11,5923.6242,6342.658,9574.3161,9915.1965,10185.1663,10192.5954,10168.8328,10711.9044,10757.3274,10914.9469,11268.6112,13133.0536,13953.2589,14077.7696,13546.4296,13172.6526,11219.0256,8843.6832,8966.376,8602.1078,8191.2324,8632.6668,9200.3795,10260,11528
Nova Scotia,3104.6976,4066.3125,4784.333,5528.5139,6239.668,6464.5296,6668.778,6576.0967,7213.6984,7229.9142,8203.5694,10825.5952,12047.644,12358.071,12465.0645,12841.2089,12939.112,14050.5912,14939.4762,14709.369,15320.8704,15124.7846,14974.8216,14571.581,14189.8966,14083.2729,13341.038,13671.7482,14229.486,13573.5314,13987.9116,14417.4222,14949.4774,15031,15118
Ontario,31493.448,36742.1154,42257.0716,45949.6128,55778.9672,58171.5419,60402.51,59144.8839,57348.4164,58740.9516,74639.4792,91791.7784,119584.7363,131691.692,145696.0792,152831.3219,157017.308,156547.1628,178776.2196,171410.0752,166683.8536,164097.6037,168619.7952,166878.6482,177042.6988,175219.7574,172465.5392,188222.3915,211166.8812,226995.5402,246230.3064,260696.61,270593.44,284100,298900
Prince Edward Island,235.8288,279.7623,261.725,259.4319,287.3912,300.7187,317.8145,318.2251,322.3004,334.6758,406.7011,521.3754,1145.4164,1436.985,1410.2758,1391.049,1388.6216,1350.756,1362.1248,1340.2732,1328.4648,1457.3038,1594.9011,1574.986,1533.8862,1495.2864,1483.3164,1570.5085,1724.5548,1808.4638,1994.2416,2109.564,2125.6573,2149,2177
Quebec,28777.9824,32612.9106,36216.4586,43146.1394,49635.7392,52978.1484,55244.6825,54679.7359,56010.6268,57396.1356,63325.9315,69686.0556,76910.5569,83718.1655,88140.8072,91096.8483,123397.9016,121172.364,118603.2924,114114.6896,117041.1552,118267.9971,117856.2675,117285.5364,121369.4702,141661.2909,137298.7172,148989.6463,165374.0064,168559.6198,174664.4172,181471.1067,183563.0147,190402,193002
Saskatchewan,-2500.2432,-1544.1144,-724.4548,130.7215,1284.5808,3625.2285,4468.9335,4806.6985,5370.5936,5636.0016,9069.8881,9784.3298,11526.8653,11090.9115,10901.7466,10137.7965,10000.304,9758.1888,9403.1838,9070.1307,10986.0128,11485.2364,11318.5746,10184.12,9124.478,8467.971,6467.3476,3911.2876,3883.248,4003.1706,4748.3436,5283.2169,4673.6105,5552,6718
