Jurisdiction,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada,107622,136671,157252,194419,227808,257650,286667,314614,343757,377656,409975,448994,487524,524156,554162,562881,559922,554143,539885,519994,511946,505325,496180,494717,481499,467268,457637,463710,519097,550327,583576,609391,611881,612330,617000
Alberta,-8252,-7463,-7229,-7219,-11817,-7784,-6419,-4412,-2296,-464,2165,7054,8313,7355,6255,3728,1089,63,-2654,-9042,-9814,-11696,-15607,-20398,-28318,-36047,-39410,-36954,-33017,-28114,-26728,-22741,-13032,-13054,-3917
British Columbia,-1404,-420,592,1586,2553,3714,3762,3533,5538,6312,8843,10529,11507,11954,12162,12338,12515,21914,22966,23136,24797,27691,28876,27152,27040,24513,23811,26160,29372,32279,36024,38298,39085,38902,40821
Manitoba,1436,1857,2512,3144,3861,3767,4415,4332,4449,4773,5216,6378,6806,6901,6854,6474,9719,9926,10046,9888,10001,10341,11052,11101,10952,10800,10561,11413,11643,12562,14550,15893,17344,18775,20426
New Brunswick,1056,1444,1709,1967,2147,2588,2919,2993,3013,3236,3603,5297,5810,5889,5850,5783,5788,5992,7056,6915,6759,6865,7067,6943,6901,6761,7152,7608,8629,9700,10126,11085,11641,12018,12602
Newfoundland and Labrador,2042,2144,2421,2718,3023,3150,3289,3195,3369,3550,3918,4270,6453,6831,7121,7254,7301,7851,8087,8437,8932,10616,11487,11888,11684,11558,10188,7968,8220,8129,7837,8348,9085,10260,11528
Nova Scotia,1356,1875,2285,2749,3235,3504,3756,3947,4454,4731,5426,7288,8120,8514,8715,9139,9290,10298,11231,11370,12144,12226,12328,12305,12239,12357,12115,12318,13045,12827,13383,13942,14762,15031,15118
Ontario,13755,16942,20182,22848,28919,31531,34020,35499,35409,38438,49368,61796,80599,90728,101864,108769,112735,114737,134398,132496,132121,132647,138816,140921,152702,153742,156616,169585,193589,214511,235582,252100,267200,284100,298900
Prince Edward Island,103,129,125,129,149,163,179,191,199,219,269,351,772,990,986,990,997,990,1024,1036,1053,1178,1313,1330,1323,1312,1347,1415,1581,1709,1908,2040,2099,2149,2177
Quebec,12569,15038,17297,21454,25734,28716,31115,32819,34583,37558,41885,46914,51837,57677,61624,64833,88597,88810,89162,88208,92772,95601,97025,99042,104683,124297,124681,134237,151608,159289,167111,175487,181261,190402,193002
Saskatchewan,-1092,-712,-346,65,666,1965,2517,2885,3316,3688,5999,6587,7769,7641,7622,7215,7180,7152,7069,7011,8708,9284,9318,8600,7870,7430,5873,3524,3560,3783,4543,5109,4615,5552,6718
