source,date,value
1,2005,11386
1,2006,10324
1,2007,9368
1,2008,9231
1,2009,11061
1,2010,11213
1,2011,12798
1,2012,10737
1,2013,13349
1,2014,13849
2,2005,12065
2,2006,10635
2,2007,9572
2,2008,6383
2,2009,6617
2,2010,6697
2,2011,7141
2,2012,5704
2,2013,4778
2,2014,4159
3,2005,3760
3,2006,2513
3,2007,1972
3,2008,998
3,2009,792
3,2010,877
3,2011,939
3,2012,897
3,2013,959
3,2014,1206
4,2005,375
4,2006,454
4,2007,418
4,2008,241
4,2009,293
4,2010,664
4,2011,791
4,2012,690
4,2013,450
4,2014,320
5,2005,7915
5,2006,8202
5,2007,6370
5,2008,4838
5,2009,3879
5,2010,4932
5,2011,5941
5,2012,4851
5,2013,4127
5,2014,3429
6,2005,274
6,2006,371
6,2007,254
6,2008,168
6,2009,207
6,2010,314
6,2011,263
6,2012,200
6,2013,168
6,2014,323
